,x,y,w,h,score,match
59,86,1881,43,51,0.75298506,01_02_2023 LG 282 copy 9.jpg
12,154,1880,41,45,0.8101257,01_02_2023 LG 282 copy 7.jpg
86,156,1353,70,56,0.7114314,05_07_2019.jpg
58,161,1834,43,51,0.85637254,01_02_2023 LG 282 copy 9.jpg
87,162,1493,70,56,0.7446651,05_07_2019.jpg
56,178,1787,43,51,0.77003706,01_02_2023 LG 282 copy 9.jpg
55,195,1739,43,51,0.850883,01_02_2023 LG 282 copy 9.jpg
54,231,1650,43,51,0.87031287,01_02_2023 LG 282 copy 9.jpg
29,243,1611,53,39,0.8588027,01_10_2023 LG 282 copy 4.jpg
28,258,1564,53,39,0.8667522,01_10_2023 LG 282 copy 4.jpg
27,273,1521,53,39,0.8371773,01_10_2023 LG 282 copy 4.jpg
52,293,1471,43,51,0.8847694,01_02_2023 LG 282 copy 9.jpg
26,310,1428,53,39,0.74221975,01_10_2023 LG 282 copy 4.jpg
8,337,1340,49,47,0.85427195,01_02_2023 LG 282 copy 3.jpg
15,350,1299,49,48,0.7558476,01_02_2023 LG 282 copy 4.jpg
14,369,1255,49,48,0.8468332,01_02_2023 LG 282 copy 4.jpg
7,385,1210,49,47,0.810158,01_02_2023 LG 282 copy 3.jpg
6,403,1164,49,47,0.848929,01_02_2023 LG 282 copy 3.jpg
5,418,1122,49,47,0.79005355,01_02_2023 LG 282 copy 3.jpg
47,435,1077,43,51,0.8763594,01_02_2023 LG 282 copy 9.jpg
46,456,1032,43,51,0.8665477,01_02_2023 LG 282 copy 9.jpg
1,462,994,62,43,0.8354371,12_29_2022 LG 282 copy 2.jpg
4,488,950,49,47,0.8311569,01_02_2023 LG 282 copy 3.jpg
25,524,859,53,39,0.84575033,01_10_2023 LG 282 copy 4.jpg
24,544,821,53,39,0.89342886,01_10_2023 LG 282 copy 4.jpg
23,565,773,53,39,0.7912821,01_10_2023 LG 282 copy 4.jpg
22,588,720,53,39,0.7433813,01_10_2023 LG 282 copy 4.jpg
21,612,665,53,39,0.8361145,01_10_2023 LG 282 copy 4.jpg
43,635,614,43,51,0.8696096,01_02_2023 LG 282 copy 9.jpg
42,663,571,43,51,0.86150944,01_02_2023 LG 282 copy 9.jpg
41,685,533,43,51,0.8725719,01_02_2023 LG 282 copy 9.jpg
39,712,485,43,51,0.88191956,01_02_2023 LG 282 copy 9.jpg
20,740,448,53,39,0.813908,01_10_2023 LG 282 copy 4.jpg
82,770,238,70,56,0.7133421,05_07_2019.jpg
61,772,404,48,42,0.7879231,12_13_2022 LG 282 copy.jpg
60,803,368,48,42,0.8008644,12_13_2022 LG 282 copy.jpg
34,854,322,43,51,0.8572521,01_02_2023 LG 282 copy 9.jpg
32,889,291,43,51,0.7834323,01_02_2023 LG 282 copy 9.jpg
83,911,244,70,56,0.7549179,05_07_2019.jpg
79,965,31,54,44,0.7009275,01_10_2023 LG 282 copy 11.jpg
81,999,174,54,44,0.71966594,01_10_2023 LG 282 copy 11.jpg
76,1023,76,49,46,0.7853751,01_10_2023 LG 282 copy 3.jpg
75,1028,48,49,46,0.7705854,01_10_2023 LG 282 copy 3.jpg
74,1035,25,49,46,0.83292484,01_10_2023 LG 282 copy 3.jpg
77,1126,118,49,46,0.74537176,01_10_2023 LG 282 copy 3.jpg
73,1144,7,49,46,0.73229885,01_10_2023 LG 282 copy 3.jpg
45,1157,777,43,51,0.71341616,01_02_2023 LG 282 copy 9.jpg
80,1165,121,54,44,0.76317966,01_10_2023 LG 282 copy 11.jpg
30,1233,196,43,51,0.745387,01_02_2023 LG 282 copy 9.jpg
19,1332,230,53,39,0.81171775,01_10_2023 LG 282 copy 4.jpg
31,1432,276,43,51,0.8611888,01_02_2023 LG 282 copy 9.jpg
33,1487,316,43,51,0.8189912,01_02_2023 LG 282 copy 9.jpg
35,1530,346,43,51,0.77504665,01_02_2023 LG 282 copy 9.jpg
36,1570,382,43,51,0.83891565,01_02_2023 LG 282 copy 9.jpg
37,1608,420,43,51,0.8629682,01_02_2023 LG 282 copy 9.jpg
38,1644,456,43,51,0.8532943,01_02_2023 LG 282 copy 9.jpg
40,1677,495,43,51,0.88056785,01_02_2023 LG 282 copy 9.jpg
72,1705,547,50,47,0.8594063,01_10_2023 LG 282 copy 10.jpg
84,1732,821,70,56,0.79442495,05_07_2019.jpg
62,1739,587,48,42,0.8718419,12_13_2022 LG 282 copy.jpg
63,1768,635,48,42,0.89061964,12_13_2022 LG 282 copy.jpg
64,1801,685,48,42,0.8296793,12_13_2022 LG 282 copy.jpg
3,1812,725,75,57,0.7084244,05_14_2019_processed copy.jpg
44,1855,758,43,51,0.8058051,01_02_2023 LG 282 copy 9.jpg
13,1899,842,45,42,0.8144931,01_02_2023 LG 282 copy 6.jpg
16,1928,892,47,40,0.8228657,01_10_2023 LG 282 copy 8.jpg
17,1949,935,47,40,0.739178,01_10_2023 LG 282 copy 8.jpg
9,1996,985,41,45,0.8083024,01_02_2023 LG 282 copy 7.jpg
18,2008,1033,47,40,0.80483645,01_10_2023 LG 282 copy 8.jpg
65,2028,1076,48,42,0.7888206,12_13_2022 LG 282 copy.jpg
48,2057,1113,43,51,0.78305656,01_02_2023 LG 282 copy 9.jpg
66,2071,1160,48,42,0.7723545,12_13_2022 LG 282 copy.jpg
49,2102,1200,43,51,0.79177153,01_02_2023 LG 282 copy 9.jpg
67,2144,1285,48,42,0.82872564,12_13_2022 LG 282 copy.jpg
68,2188,1363,48,42,0.81183916,12_13_2022 LG 282 copy.jpg
50,2212,1398,43,51,0.7346803,01_02_2023 LG 282 copy 9.jpg
51,2234,1442,43,51,0.8236153,01_02_2023 LG 282 copy 9.jpg
2,2248,1489,62,43,0.841262,12_29_2022 LG 282 copy 2.jpg
