,x,y,w,h,score,match
51,132,1871,77,51,0.7410991,05_28_2019_processed copy.jpg
63,148,1830,48,42,0.81297123,12_13_2022 LG 282 copy.jpg
50,157,1779,77,51,0.830257,05_28_2019_processed copy.jpg
49,172,1730,77,51,0.8488562,05_28_2019_processed copy.jpg
20,195,1690,53,39,0.9137912,01_10_2023 LG 282 copy 4.jpg
48,214,1642,43,51,0.8564263,01_02_2023 LG 282 copy 9.jpg
69,217,1350,70,56,0.7023269,05_07_2019.jpg
47,228,1595,43,51,0.85828435,01_02_2023 LG 282 copy 9.jpg
46,241,1548,43,51,0.84837675,01_02_2023 LG 282 copy 9.jpg
45,255,1502,43,51,0.84711194,01_02_2023 LG 282 copy 9.jpg
44,269,1457,43,51,0.8550258,01_02_2023 LG 282 copy 9.jpg
43,286,1413,43,51,0.83962274,01_02_2023 LG 282 copy 9.jpg
68,309,1320,74,59,0.7994215,06_07_2019_processed copy.jpg
60,324,1281,48,42,0.7887264,12_13_2022 LG 282 copy.jpg
64,329,1234,101,74,0.7930388,06_04_2019_processed copy.jpg
39,358,1193,43,51,0.83280617,01_02_2023 LG 282 copy 9.jpg
58,368,1149,48,42,0.83837587,12_13_2022 LG 282 copy.jpg
37,387,1101,43,51,0.81885576,01_02_2023 LG 282 copy 9.jpg
19,400,1066,53,39,0.83776826,01_10_2023 LG 282 copy 4.jpg
35,418,1014,43,51,0.81168467,01_02_2023 LG 282 copy 9.jpg
9,434,973,49,47,0.7849355,01_02_2023 LG 282 copy 3.jpg
34,449,926,43,51,0.79456294,01_02_2023 LG 282 copy 9.jpg
33,458,884,43,51,0.742141,01_02_2023 LG 282 copy 9.jpg
18,479,846,53,39,0.83657515,01_10_2023 LG 282 copy 4.jpg
31,497,796,43,51,0.8870639,01_02_2023 LG 282 copy 9.jpg
30,509,749,43,51,0.70908433,01_02_2023 LG 282 copy 9.jpg
29,534,703,43,51,0.88018453,01_02_2023 LG 282 copy 9.jpg
74,566,599,52,44,0.7486544,06_14_2019_processed copy.jpg
7,603,537,44,37,0.7336117,01_02_2023 LG 282 copy 2.jpg
8,636,471,49,47,0.8069027,01_02_2023 LG 282 copy 3.jpg
27,664,422,43,51,0.8673662,01_02_2023 LG 282 copy 9.jpg
72,719,333,52,44,0.7664296,06_14_2019_processed copy.jpg
6,751,297,44,37,0.7713555,01_02_2023 LG 282 copy 2.jpg
25,791,245,43,51,0.71557283,01_02_2023 LG 282 copy 9.jpg
24,832,214,43,51,0.8005034,01_02_2023 LG 282 copy 9.jpg
23,977,134,43,51,0.7968958,01_02_2023 LG 282 copy 9.jpg
52,1009,100,48,42,0.8320585,12_13_2022 LG 282 copy.jpg
54,1021,123,48,42,0.72772205,12_13_2022 LG 282 copy.jpg
53,1071,121,48,42,0.7272975,12_13_2022 LG 282 copy.jpg
21,1175,121,43,51,0.7851445,01_02_2023 LG 282 copy 9.jpg
22,1229,130,43,51,0.7679908,01_02_2023 LG 282 copy 9.jpg
13,1326,173,47,40,0.7782865,01_10_2023 LG 282 copy 8.jpg
14,1376,204,47,40,0.84440434,01_10_2023 LG 282 copy 8.jpg
10,1434,239,41,45,0.81788176,01_02_2023 LG 282 copy 7.jpg
15,1463,276,47,40,0.7625994,01_10_2023 LG 282 copy 8.jpg
55,1541,345,48,42,0.7377081,12_13_2022 LG 282 copy.jpg
26,1576,380,43,51,0.8859922,01_02_2023 LG 282 copy 9.jpg
28,1634,463,43,51,0.8147185,01_02_2023 LG 282 copy 9.jpg
73,1658,515,52,44,0.7543913,06_14_2019_processed copy.jpg
17,1723,608,53,39,0.8405299,01_10_2023 LG 282 copy 4.jpg
1,1743,646,62,43,0.8409067,12_29_2022 LG 282 copy 2.jpg
2,1790,724,62,43,0.806097,12_29_2022 LG 282 copy 2.jpg
3,1805,765,62,43,0.8110041,12_29_2022 LG 282 copy 2.jpg
32,1837,802,43,51,0.88585174,01_02_2023 LG 282 copy 9.jpg
11,1883,868,41,45,0.73090285,01_02_2023 LG 282 copy 7.jpg
16,1906,912,47,40,0.8262022,01_10_2023 LG 282 copy 8.jpg
56,1928,972,48,42,0.8787352,12_13_2022 LG 282 copy.jpg
57,1948,1006,48,42,0.9118058,12_13_2022 LG 282 copy.jpg
4,1966,1048,62,43,0.7922731,12_29_2022 LG 282 copy 2.jpg
36,1998,1087,43,51,0.77558327,01_02_2023 LG 282 copy 9.jpg
38,2017,1131,43,51,0.87116206,01_02_2023 LG 282 copy 9.jpg
5,2030,1185,62,43,0.8599706,12_29_2022 LG 282 copy 2.jpg
59,2076,1252,48,42,0.84563226,12_13_2022 LG 282 copy.jpg
40,2107,1291,43,51,0.83577466,01_02_2023 LG 282 copy 9.jpg
41,2123,1334,43,51,0.8549399,01_02_2023 LG 282 copy 9.jpg
42,2147,1378,43,51,0.83920765,01_02_2023 LG 282 copy 9.jpg
67,2173,1466,60,53,0.8174239,01_10_2023 LG 282 copy 12.jpg
70,2181,1503,70,56,0.82104313,05_07_2019.jpg
0,2185,1543,100,51,0.72322154,06_04_2019_processed copy 3.jpg
65,2240,1586,54,44,0.8304827,01_10_2023 LG 282 copy 11.jpg
66,2285,1676,54,44,0.84815335,01_10_2023 LG 282 copy 11.jpg
61,2311,1724,48,42,0.8198244,12_13_2022 LG 282 copy.jpg
71,2323,1809,70,56,0.8117437,05_07_2019.jpg
62,2330,1769,48,42,0.8319804,12_13_2022 LG 282 copy.jpg
12,2429,1811,45,42,0.7456665,01_02_2023 LG 282 copy 6.jpg
