,x,y,w,h,score,match
49,206,1851,49,46,0.7186877,01_10_2023 LG 282 copy 3.jpg
39,216,1787,77,51,0.7842777,05_28_2019_processed copy.jpg
48,260,1724,49,46,0.76878184,01_10_2023 LG 282 copy 3.jpg
23,265,1702,53,39,0.7558619,01_10_2023 LG 282 copy 4.jpg
38,274,1652,77,51,0.727886,05_28_2019_processed copy.jpg
46,300,1547,48,42,0.75938517,12_13_2022 LG 282 copy.jpg
63,346,1524,74,59,0.81225586,06_07_2019_processed copy.jpg
22,367,1488,53,39,0.779023,01_10_2023 LG 282 copy 4.jpg
45,387,1442,48,42,0.7713957,12_13_2022 LG 282 copy.jpg
51,404,1402,54,44,0.77003425,01_10_2023 LG 282 copy 11.jpg
44,427,1361,48,42,0.78883064,12_13_2022 LG 282 copy.jpg
62,482,1236,74,59,0.73064256,06_07_2019_processed copy.jpg
36,507,1194,43,51,0.79436827,01_02_2023 LG 282 copy 9.jpg
61,525,1155,74,59,0.76020753,06_07_2019_processed copy.jpg
60,542,1113,74,59,0.77366143,06_07_2019_processed copy.jpg
59,562,1072,74,59,0.74585354,06_07_2019_processed copy.jpg
58,579,1031,74,59,0.71054137,06_07_2019_processed copy.jpg
57,605,990,74,59,0.73379225,06_07_2019_processed copy.jpg
67,625,952,52,44,0.80778795,06_14_2019_processed copy.jpg
34,655,909,43,51,0.71412295,01_02_2023 LG 282 copy 9.jpg
66,666,874,52,44,0.76503074,06_14_2019_processed copy.jpg
65,692,836,52,44,0.72911537,06_14_2019_processed copy.jpg
21,720,798,53,39,0.723145,01_10_2023 LG 282 copy 4.jpg
33,747,746,43,51,0.74416107,01_02_2023 LG 282 copy 9.jpg
32,774,705,43,51,0.7202942,01_02_2023 LG 282 copy 9.jpg
16,822,619,49,48,0.74079496,01_02_2023 LG 282 copy 4.jpg
11,854,577,49,47,0.78949004,01_02_2023 LG 282 copy 3.jpg
6,873,543,44,37,0.7199426,01_02_2023 LG 282 copy 2.jpg
10,905,500,49,47,0.8228048,01_02_2023 LG 282 copy 3.jpg
9,940,457,49,47,0.8051605,01_02_2023 LG 282 copy 3.jpg
8,1011,380,49,47,0.74622434,01_02_2023 LG 282 copy 3.jpg
5,1045,348,44,37,0.7776939,01_02_2023 LG 282 copy 2.jpg
4,1086,308,44,37,0.7517258,01_02_2023 LG 282 copy 2.jpg
12,1147,277,41,45,0.7926426,01_02_2023 LG 282 copy 7.jpg
7,1227,231,49,47,0.86582124,01_02_2023 LG 282 copy 3.jpg
24,1290,216,43,51,0.84518194,01_02_2023 LG 282 copy 9.jpg
25,1337,216,43,51,0.8153256,01_02_2023 LG 282 copy 9.jpg
26,1388,219,43,51,0.74887645,01_02_2023 LG 282 copy 9.jpg
27,1435,222,43,51,0.8576013,01_02_2023 LG 282 copy 9.jpg
28,1481,231,43,51,0.81624883,01_02_2023 LG 282 copy 9.jpg
29,1532,244,43,51,0.8631986,01_02_2023 LG 282 copy 9.jpg
13,1633,303,41,45,0.80378073,01_02_2023 LG 282 copy 7.jpg
14,1685,339,41,45,0.7581553,01_02_2023 LG 282 copy 7.jpg
17,1741,424,47,40,0.7895145,01_10_2023 LG 282 copy 8.jpg
18,1808,509,47,40,0.764652,01_10_2023 LG 282 copy 8.jpg
20,1835,538,47,63,0.8097586,01_02_2023 LG 282 copy 5.jpg
30,1880,628,43,51,0.78399885,01_02_2023 LG 282 copy 9.jpg
41,1899,801,48,42,0.7025222,12_13_2022 LG 282 copy.jpg
31,1905,671,43,51,0.8567115,01_02_2023 LG 282 copy 9.jpg
40,1943,773,48,42,0.812696,12_13_2022 LG 282 copy.jpg
1,1962,814,62,43,0.7681694,12_29_2022 LG 282 copy 2.jpg
2,2022,976,62,43,0.85537916,12_29_2022 LG 282 copy 2.jpg
35,2046,1013,43,51,0.82313156,01_02_2023 LG 282 copy 9.jpg
64,2057,1098,70,56,0.746881,05_07_2019.jpg
19,2068,1066,47,40,0.7762393,01_10_2023 LG 282 copy 8.jpg
55,2084,1145,62,50,0.7229874,05_10_2019.jpg
53,2099,1190,60,53,0.7423527,01_10_2023 LG 282 copy 12.jpg
54,2119,1232,60,53,0.7807938,01_10_2023 LG 282 copy 12.jpg
43,2143,1324,48,42,0.80513656,12_13_2022 LG 282 copy.jpg
42,2146,1272,48,42,0.7884214,12_13_2022 LG 282 copy.jpg
15,2176,1369,41,45,0.7379438,01_02_2023 LG 282 copy 7.jpg
0,2204,1413,45,72,0.75985354,01_10_2023 LG 282 copy.jpg
37,2233,1488,43,51,0.8312355,01_02_2023 LG 282 copy 9.jpg
3,2276,1661,62,43,0.7752937,12_29_2022 LG 282 copy 2.jpg
56,2283,1705,62,50,0.72241133,05_10_2019.jpg
47,2310,1750,48,42,0.72991776,12_13_2022 LG 282 copy.jpg
52,2321,1786,54,44,0.75002104,01_10_2023 LG 282 copy 11.jpg
50,2363,1877,49,46,0.70759577,01_10_2023 LG 282 copy 3.jpg
