,x,y,w,h,score,match
41,139,1875,53,39,0.73824865,01_10_2023 LG 282 copy 4.jpg
40,157,1833,53,39,0.77802634,01_10_2023 LG 282 copy 4.jpg
39,173,1793,53,39,0.81023103,01_10_2023 LG 282 copy 4.jpg
38,191,1742,53,39,0.78286755,01_10_2023 LG 282 copy 4.jpg
37,212,1696,53,39,0.80230105,01_10_2023 LG 282 copy 4.jpg
36,249,1611,53,39,0.8222814,01_10_2023 LG 282 copy 4.jpg
70,252,1563,101,74,0.74631876,06_04_2019_processed copy.jpg
35,267,1569,53,39,0.85011953,01_10_2023 LG 282 copy 4.jpg
51,284,1521,43,51,0.8576063,01_02_2023 LG 282 copy 9.jpg
50,305,1477,43,51,0.77096677,01_02_2023 LG 282 copy 9.jpg
65,318,1440,48,42,0.75395054,12_13_2022 LG 282 copy.jpg
49,341,1392,43,51,0.8222833,01_02_2023 LG 282 copy 9.jpg
64,355,1352,48,42,0.8372103,12_13_2022 LG 282 copy.jpg
63,370,1313,48,42,0.8180698,12_13_2022 LG 282 copy.jpg
61,387,1273,48,42,0.8200547,12_13_2022 LG 282 copy.jpg
60,405,1233,48,42,0.8321455,12_13_2022 LG 282 copy.jpg
59,426,1190,48,42,0.8631937,12_13_2022 LG 282 copy.jpg
6,441,1147,44,37,0.7987197,01_02_2023 LG 282 copy 2.jpg
58,463,1106,48,42,0.85210466,12_13_2022 LG 282 copy.jpg
57,483,1066,48,42,0.8392795,12_13_2022 LG 282 copy.jpg
34,506,1028,53,39,0.83810174,01_10_2023 LG 282 copy 4.jpg
55,518,982,48,42,0.7710725,12_13_2022 LG 282 copy.jpg
33,540,946,53,39,0.8661619,01_10_2023 LG 282 copy 4.jpg
46,584,857,43,51,0.8754347,01_02_2023 LG 282 copy 9.jpg
42,597,1887,53,39,0.71558815,01_10_2023 LG 282 copy 4.jpg
45,607,812,43,51,0.87440526,01_02_2023 LG 282 copy 9.jpg
12,625,776,49,47,0.7753171,01_02_2023 LG 282 copy 3.jpg
11,649,727,49,47,0.76312536,01_02_2023 LG 282 copy 3.jpg
21,679,688,41,45,0.79092,01_02_2023 LG 282 copy 7.jpg
5,715,614,44,37,0.7380032,01_02_2023 LG 282 copy 2.jpg
18,785,516,41,45,0.77534646,01_02_2023 LG 282 copy 7.jpg
16,835,460,41,45,0.78270274,01_02_2023 LG 282 copy 7.jpg
4,850,427,44,37,0.83860743,01_02_2023 LG 282 copy 2.jpg
3,881,393,44,37,0.76987576,01_02_2023 LG 282 copy 2.jpg
27,918,358,49,48,0.7180255,01_02_2023 LG 282 copy 4.jpg
43,1007,294,43,51,0.7490666,01_02_2023 LG 282 copy 9.jpg
9,1055,272,49,47,0.822495,01_02_2023 LG 282 copy 3.jpg
26,1109,256,49,48,0.8042215,01_02_2023 LG 282 copy 4.jpg
25,1166,252,49,48,0.83271253,01_02_2023 LG 282 copy 4.jpg
29,1210,251,47,40,0.78574324,01_10_2023 LG 282 copy 8.jpg
7,1262,253,49,47,0.74676186,01_02_2023 LG 282 copy 3.jpg
8,1307,258,49,47,0.7882597,01_02_2023 LG 282 copy 3.jpg
10,1364,273,49,47,0.8488145,01_02_2023 LG 282 copy 3.jpg
13,1424,294,41,45,0.7714265,01_02_2023 LG 282 copy 7.jpg
44,1485,541,43,51,0.71555394,01_02_2023 LG 282 copy 9.jpg
14,1548,395,41,45,0.7320574,01_02_2023 LG 282 copy 7.jpg
15,1589,437,41,45,0.78365254,01_02_2023 LG 282 copy 7.jpg
17,1626,474,41,45,0.8197311,01_02_2023 LG 282 copy 7.jpg
30,1648,518,47,40,0.72209615,01_10_2023 LG 282 copy 8.jpg
19,1691,553,41,45,0.82167745,01_02_2023 LG 282 copy 7.jpg
31,1703,593,47,40,0.834838,01_10_2023 LG 282 copy 8.jpg
32,1729,627,47,63,0.7902289,01_02_2023 LG 282 copy 5.jpg
20,1760,686,41,45,0.7309732,01_02_2023 LG 282 copy 7.jpg
73,1768,1060,70,56,0.7514779,05_07_2019.jpg
28,1778,734,49,48,0.7649029,01_02_2023 LG 282 copy 4.jpg
54,1796,862,48,42,0.76852846,12_13_2022 LG 282 copy.jpg
52,1803,781,48,42,0.8099015,12_13_2022 LG 282 copy.jpg
53,1824,825,48,42,0.86724734,12_13_2022 LG 282 copy.jpg
0,1839,860,62,43,0.8988478,12_29_2022 LG 282 copy 2.jpg
47,1880,937,43,51,0.83026445,01_02_2023 LG 282 copy 9.jpg
56,1894,984,48,42,0.80399275,12_13_2022 LG 282 copy.jpg
23,1919,1018,45,42,0.8146234,01_02_2023 LG 282 copy 6.jpg
22,1964,1114,41,45,0.7146834,01_02_2023 LG 282 copy 7.jpg
62,1971,1273,48,42,0.77567124,12_13_2022 LG 282 copy.jpg
72,2011,1276,60,53,0.7469605,01_10_2023 LG 282 copy 12.jpg
48,2045,1313,43,51,0.90638775,01_02_2023 LG 282 copy 9.jpg
1,2048,1359,62,43,0.86127055,12_29_2022 LG 282 copy 2.jpg
74,2093,1761,70,56,0.73862785,05_07_2019.jpg
2,2109,1483,62,43,0.8894594,12_29_2022 LG 282 copy 2.jpg
71,2118,1537,50,47,0.7559497,01_10_2023 LG 282 copy 10.jpg
24,2165,1801,45,42,0.72133094,01_02_2023 LG 282 copy 6.jpg
66,2193,1700,48,42,0.8243556,12_13_2022 LG 282 copy.jpg
67,2228,1780,48,42,0.9098438,12_13_2022 LG 282 copy.jpg
68,2246,1823,48,42,0.9272321,12_13_2022 LG 282 copy.jpg
69,2260,1862,48,42,0.78838366,12_13_2022 LG 282 copy.jpg
