,x,y,w,h,score,match
26,171,1873,53,39,0.8620803,01_10_2023 LG 282 copy 4.jpg
25,184,1826,53,39,0.8459374,01_10_2023 LG 282 copy 4.jpg
53,196,1768,77,51,0.8545777,05_28_2019_processed copy.jpg
24,222,1734,53,39,0.8308218,01_10_2023 LG 282 copy 4.jpg
52,235,1677,77,51,0.8566801,05_28_2019_processed copy.jpg
49,250,1890,43,51,0.7086909,01_02_2023 LG 282 copy 9.jpg
51,256,1633,77,51,0.87303746,05_28_2019_processed copy.jpg
50,273,1590,77,51,0.81836283,05_28_2019_processed copy.jpg
80,299,1548,74,59,0.87695146,06_07_2019_processed copy.jpg
0,321,1466,84,47,0.7638758,06_04_2019_processed copy 2.jpg
79,358,1418,74,59,0.84774184,06_07_2019_processed copy.jpg
78,377,1376,74,59,0.8229158,06_07_2019_processed copy.jpg
77,402,1333,74,59,0.85490084,06_07_2019_processed copy.jpg
76,421,1290,74,59,0.8330909,06_07_2019_processed copy.jpg
75,440,1246,74,59,0.8676641,06_07_2019_processed copy.jpg
60,480,1168,48,42,0.8541964,12_13_2022 LG 282 copy.jpg
59,521,1083,48,42,0.7976808,12_13_2022 LG 282 copy.jpg
58,562,1001,48,42,0.87109536,12_13_2022 LG 282 copy.jpg
57,606,918,48,42,0.8493912,12_13_2022 LG 282 copy.jpg
74,625,873,74,59,0.8454475,06_07_2019_processed copy.jpg
56,647,835,48,42,0.8381909,12_13_2022 LG 282 copy.jpg
2,666,793,62,43,0.83833694,12_29_2022 LG 282 copy 2.jpg
68,670,930,49,46,0.7197265,01_10_2023 LG 282 copy 3.jpg
67,687,892,49,46,0.70746356,01_10_2023 LG 282 copy 3.jpg
43,721,705,43,51,0.8166382,01_02_2023 LG 282 copy 9.jpg
42,747,659,43,51,0.8896602,01_02_2023 LG 282 copy 9.jpg
66,775,726,49,46,0.72600585,01_10_2023 LG 282 copy 3.jpg
20,800,563,53,39,0.82487154,01_10_2023 LG 282 copy 4.jpg
15,826,512,49,48,0.8326071,01_02_2023 LG 282 copy 4.jpg
11,850,478,44,37,0.762959,01_02_2023 LG 282 copy 2.jpg
39,885,439,43,51,0.85775506,01_02_2023 LG 282 copy 9.jpg
36,915,399,43,51,0.8989741,01_02_2023 LG 282 copy 9.jpg
14,953,356,49,48,0.85452867,01_02_2023 LG 282 copy 4.jpg
13,986,318,49,48,0.8904343,01_02_2023 LG 282 copy 4.jpg
12,1023,288,49,48,0.8696328,01_02_2023 LG 282 copy 4.jpg
34,1071,244,43,51,0.8917609,01_02_2023 LG 282 copy 9.jpg
32,1114,211,43,51,0.81932807,01_02_2023 LG 282 copy 9.jpg
31,1155,193,43,51,0.8596901,01_02_2023 LG 282 copy 9.jpg
7,1213,165,51,63,0.8133387,01_02_2023 LG 282 copy.jpg
29,1267,154,43,51,0.79999644,01_02_2023 LG 282 copy 9.jpg
55,1314,150,48,42,0.7468429,12_13_2022 LG 282 copy.jpg
28,1368,152,43,51,0.77713484,01_02_2023 LG 282 copy 9.jpg
10,1396,62,44,37,0.7122387,01_02_2023 LG 282 copy 2.jpg
18,1416,157,53,39,0.8161092,01_10_2023 LG 282 copy 4.jpg
54,1456,99,48,42,0.732061,12_13_2022 LG 282 copy.jpg
19,1463,166,53,39,0.8212683,01_10_2023 LG 282 copy 4.jpg
30,1517,175,43,51,0.85716206,01_02_2023 LG 282 copy 9.jpg
16,1573,202,47,40,0.80670786,01_10_2023 LG 282 copy 8.jpg
33,1612,225,43,51,0.8667288,01_02_2023 LG 282 copy 9.jpg
35,1655,259,43,51,0.8745321,01_02_2023 LG 282 copy 9.jpg
64,1699,311,50,47,0.8542263,01_10_2023 LG 282 copy 10.jpg
38,1704,430,43,51,0.702833,01_02_2023 LG 282 copy 9.jpg
8,1739,337,51,63,0.8770471,01_02_2023 LG 282 copy.jpg
17,1776,389,47,40,0.81260854,01_10_2023 LG 282 copy 8.jpg
37,1810,423,43,51,0.8749638,01_02_2023 LG 282 copy 9.jpg
9,1827,289,41,85,0.70510507,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
40,1839,464,43,51,0.8738217,01_02_2023 LG 282 copy 9.jpg
41,1891,556,43,51,0.88385695,01_02_2023 LG 282 copy 9.jpg
21,1912,610,53,39,0.8117949,01_10_2023 LG 282 copy 4.jpg
70,1949,709,60,53,0.8610183,01_10_2023 LG 282 copy 12.jpg
44,1985,747,43,51,0.82447016,01_02_2023 LG 282 copy 9.jpg
45,2019,828,43,51,0.8923281,01_02_2023 LG 282 copy 9.jpg
46,2036,875,43,51,0.8727001,01_02_2023 LG 282 copy 9.jpg
47,2054,922,43,51,0.83108795,01_02_2023 LG 282 copy 9.jpg
3,2064,973,62,43,0.8289697,12_29_2022 LG 282 copy 2.jpg
22,2098,1038,53,39,0.8233661,01_10_2023 LG 282 copy 4.jpg
71,2105,1087,60,53,0.706967,01_10_2023 LG 282 copy 12.jpg
48,2140,1122,43,51,0.85252523,01_02_2023 LG 282 copy 9.jpg
81,2147,1207,70,56,0.82071733,05_07_2019.jpg
82,2181,1296,70,56,0.7798396,05_07_2019.jpg
4,2219,1345,62,43,0.8223774,12_29_2022 LG 282 copy 2.jpg
72,2227,1388,60,53,0.7809457,01_10_2023 LG 282 copy 12.jpg
5,2251,1428,62,43,0.7970035,12_29_2022 LG 282 copy 2.jpg
65,2256,1482,50,47,0.766486,01_10_2023 LG 282 copy 10.jpg
1,2265,1557,100,51,0.73298335,06_04_2019_processed copy 3.jpg
6,2284,1519,62,43,0.75854295,12_29_2022 LG 282 copy 2.jpg
83,2293,1600,70,56,0.8717526,05_07_2019.jpg
73,2320,1652,60,53,0.788863,01_10_2023 LG 282 copy 12.jpg
23,2348,1692,53,39,0.77650046,01_10_2023 LG 282 copy 4.jpg
61,2362,1738,48,42,0.86465573,12_13_2022 LG 282 copy.jpg
62,2380,1777,48,42,0.8973917,12_13_2022 LG 282 copy.jpg
63,2394,1825,48,42,0.86654043,12_13_2022 LG 282 copy.jpg
69,2408,1898,54,44,0.7199521,01_10_2023 LG 282 copy 11.jpg
27,2412,1878,53,39,0.853548,01_10_2023 LG 282 copy 4.jpg
