,x,y,w,h,score,match
73,195,1833,48,42,0.7930855,12_13_2022 LG 282 copy.jpg
16,217,1783,49,47,0.76645833,01_02_2023 LG 282 copy 3.jpg
60,236,1732,43,51,0.8391829,01_02_2023 LG 282 copy 9.jpg
70,248,1396,48,42,0.7033987,12_13_2022 LG 282 copy.jpg
37,251,1685,55,56,0.8474462,01_10_2023 LG 282 copy 5.jpg
36,264,1649,53,39,0.7688351,01_10_2023 LG 282 copy 4.jpg
58,286,1601,43,51,0.88504225,01_02_2023 LG 282 copy 9.jpg
57,302,1557,43,51,0.88777125,01_02_2023 LG 282 copy 9.jpg
56,319,1513,43,51,0.84139925,01_02_2023 LG 282 copy 9.jpg
35,335,1477,53,39,0.792037,01_10_2023 LG 282 copy 4.jpg
54,351,1429,43,51,0.86879736,01_02_2023 LG 282 copy 9.jpg
21,387,1394,41,45,0.8077243,01_02_2023 LG 282 copy 7.jpg
1,396,1308,62,43,0.75381684,12_29_2022 LG 282 copy 2.jpg
34,414,1270,53,39,0.7770021,01_10_2023 LG 282 copy 4.jpg
51,431,1218,43,51,0.86315,01_02_2023 LG 282 copy 9.jpg
0,443,1179,62,43,0.82348543,12_29_2022 LG 282 copy 2.jpg
86,446,907,70,56,0.70814955,05_07_2019.jpg
69,460,1137,48,42,0.86060727,12_13_2022 LG 282 copy.jpg
33,480,1101,53,39,0.7635226,01_10_2023 LG 282 copy 4.jpg
49,500,1049,43,51,0.8963645,01_02_2023 LG 282 copy 9.jpg
15,516,1010,49,47,0.83299327,01_02_2023 LG 282 copy 3.jpg
66,532,968,48,42,0.86248845,12_13_2022 LG 282 copy.jpg
48,553,924,43,51,0.8725484,01_02_2023 LG 282 copy 9.jpg
47,567,883,43,51,0.850625,01_02_2023 LG 282 copy 9.jpg
46,591,839,43,51,0.8885747,01_02_2023 LG 282 copy 9.jpg
79,610,903,49,46,0.73589385,01_10_2023 LG 282 copy 3.jpg
45,613,796,43,51,0.84832865,01_02_2023 LG 282 copy 9.jpg
44,631,750,43,51,0.90882576,01_02_2023 LG 282 copy 9.jpg
32,634,842,53,39,0.7095147,01_10_2023 LG 282 copy 4.jpg
14,653,708,49,47,0.8560105,01_02_2023 LG 282 copy 3.jpg
77,655,814,49,46,0.700655,01_10_2023 LG 282 copy 3.jpg
90,667,1888,70,56,0.7941097,05_07_2019.jpg
26,697,618,49,48,0.84643,01_02_2023 LG 282 copy 4.jpg
13,722,575,49,47,0.8102648,01_02_2023 LG 282 copy 3.jpg
76,738,635,49,46,0.8114487,01_10_2023 LG 282 copy 3.jpg
20,783,489,41,45,0.7892052,01_02_2023 LG 282 copy 7.jpg
12,809,442,49,47,0.8147482,01_02_2023 LG 282 copy 3.jpg
