,x,y,w,h,score,match
23,206,1879,53,39,0.7587236,01_10_2023 LG 282 copy 4.jpg
22,218,1852,53,39,0.8178126,01_10_2023 LG 282 copy 4.jpg
68,234,1794,74,59,0.7972452,06_07_2019_processed copy.jpg
21,246,1755,53,39,0.8806504,01_10_2023 LG 282 copy 4.jpg
20,262,1712,53,39,0.88244724,01_10_2023 LG 282 copy 4.jpg
38,280,1608,77,51,0.84291434,05_28_2019_processed copy.jpg
74,294,1368,70,56,0.7156613,05_07_2019.jpg
73,302,1264,70,56,0.83089715,05_07_2019.jpg
19,305,1573,53,39,0.86429566,01_10_2023 LG 282 copy 4.jpg
67,317,1522,74,59,0.8160681,06_07_2019_processed copy.jpg
66,331,1475,74,59,0.84166896,06_07_2019_processed copy.jpg
71,333,1190,70,56,0.7711385,05_07_2019.jpg
70,334,1148,70,56,0.7661964,05_07_2019.jpg
18,347,1436,53,39,0.8647367,01_10_2023 LG 282 copy 4.jpg
65,359,1390,74,59,0.8197688,06_07_2019_processed copy.jpg
69,370,1112,70,56,0.7196238,05_07_2019.jpg
64,384,1302,74,59,0.7519063,06_07_2019_processed copy.jpg
63,415,1213,74,59,0.8288425,06_07_2019_processed copy.jpg
48,440,1128,48,42,0.8088294,12_13_2022 LG 282 copy.jpg
54,475,1049,60,46,0.7972126,01_10_2023 LG 282 copy 2.jpg
16,490,1007,53,39,0.84330493,01_10_2023 LG 282 copy 4.jpg
15,505,958,53,39,0.8786365,01_10_2023 LG 282 copy 4.jpg
14,525,913,53,39,0.8315515,01_10_2023 LG 282 copy 4.jpg
13,542,871,53,39,0.8366066,01_10_2023 LG 282 copy 4.jpg
12,562,819,53,39,0.8895728,01_10_2023 LG 282 copy 4.jpg
32,583,766,43,51,0.9020075,01_02_2023 LG 282 copy 9.jpg
31,625,711,43,51,0.7882004,01_02_2023 LG 282 copy 9.jpg
6,626,659,49,47,0.8356271,01_02_2023 LG 282 copy 3.jpg
58,667,605,49,46,0.7011787,01_10_2023 LG 282 copy 3.jpg
28,691,533,43,51,0.84968936,01_02_2023 LG 282 copy 9.jpg
27,727,485,43,51,0.8583262,01_02_2023 LG 282 copy 9.jpg
62,766,440,74,59,0.7137937,06_07_2019_processed copy.jpg
2,779,407,44,37,0.7379399,01_02_2023 LG 282 copy 2.jpg
1,814,364,44,37,0.7364947,01_02_2023 LG 282 copy 2.jpg
5,854,325,49,47,0.8311808,01_02_2023 LG 282 copy 3.jpg
4,900,295,49,47,0.8369208,01_02_2023 LG 282 copy 3.jpg
39,994,248,48,42,0.7896586,12_13_2022 LG 282 copy.jpg
55,1050,240,50,47,0.8072578,01_10_2023 LG 282 copy 10.jpg
24,1108,227,43,51,0.85629964,01_02_2023 LG 282 copy 9.jpg
26,1164,230,43,51,0.9388262,01_02_2023 LG 282 copy 9.jpg
25,1209,229,43,51,0.8773874,01_02_2023 LG 282 copy 9.jpg
7,1264,284,41,45,0.71353906,01_02_2023 LG 282 copy 7.jpg
3,1315,259,49,47,0.79738593,01_02_2023 LG 282 copy 3.jpg
10,1361,284,57,43,0.7798166,12_13_2022 LG 282 copy 3.jpg
8,1422,315,41,45,0.7390581,01_02_2023 LG 282 copy 7.jpg
9,1465,348,41,45,0.81172854,01_02_2023 LG 282 copy 7.jpg
11,1532,423,47,40,0.81233674,01_10_2023 LG 282 copy 8.jpg
56,1570,458,50,47,0.80010676,01_10_2023 LG 282 copy 10.jpg
29,1638,533,43,51,0.85648495,01_02_2023 LG 282 copy 9.jpg
30,1669,576,43,51,0.8967426,01_02_2023 LG 282 copy 9.jpg
42,1724,762,48,42,0.72889954,12_13_2022 LG 282 copy.jpg
40,1724,674,48,42,0.86268455,12_13_2022 LG 282 copy.jpg
44,1744,801,48,42,0.74785143,12_13_2022 LG 282 copy.jpg
41,1752,719,48,42,0.87431467,12_13_2022 LG 282 copy.jpg
46,1765,843,48,42,0.7086536,12_13_2022 LG 282 copy.jpg
60,1768,760,60,53,0.82422554,01_10_2023 LG 282 copy 12.jpg
43,1798,800,48,42,0.8103641,12_13_2022 LG 282 copy.jpg
45,1821,840,48,42,0.8737177,12_13_2022 LG 282 copy.jpg
47,1836,876,48,42,0.8116395,12_13_2022 LG 282 copy.jpg
33,1870,926,43,51,0.8518191,01_02_2023 LG 282 copy 9.jpg
34,1952,1076,43,51,0.8971228,01_02_2023 LG 282 copy 9.jpg
35,1998,1156,43,51,0.89288586,01_02_2023 LG 282 copy 9.jpg
72,2019,1239,70,56,0.82405627,05_07_2019.jpg
49,2061,1288,48,42,0.86849576,12_13_2022 LG 282 copy.jpg
36,2075,1332,43,51,0.88994634,01_02_2023 LG 282 copy 9.jpg
17,2104,1371,53,39,0.7945361,01_10_2023 LG 282 copy 4.jpg
61,2111,1415,60,53,0.73462564,01_10_2023 LG 282 copy 12.jpg
59,2143,1447,54,44,0.8028004,01_10_2023 LG 282 copy 11.jpg
75,2166,1526,70,56,0.8948497,05_07_2019.jpg
76,2182,1572,70,56,0.806526,05_07_2019.jpg
37,2228,1615,43,51,0.7993399,01_02_2023 LG 282 copy 9.jpg
57,2231,1672,50,47,0.7422151,01_10_2023 LG 282 copy 10.jpg
53,2252,1900,48,42,0.7132704,12_13_2022 LG 282 copy.jpg
77,2266,1736,70,56,0.78387773,05_07_2019.jpg
50,2271,1706,48,42,0.7924466,12_13_2022 LG 282 copy.jpg
0,2306,1788,62,43,0.80917686,12_29_2022 LG 282 copy 2.jpg
51,2331,1835,48,42,0.8769638,12_13_2022 LG 282 copy.jpg
52,2352,1878,48,42,0.87315357,12_13_2022 LG 282 copy.jpg
