,x,y,w,h,score,match
75,192,1884,74,59,0.75721437,06_07_2019_processed copy.jpg
22,203,1848,53,39,0.82695544,01_10_2023 LG 282 copy 4.jpg
63,228,1787,49,46,0.7662889,01_10_2023 LG 282 copy 3.jpg
43,228,1739,77,51,0.87016433,05_28_2019_processed copy.jpg
42,249,1690,77,51,0.8371183,05_28_2019_processed copy.jpg
41,266,1639,77,51,0.85743177,05_28_2019_processed copy.jpg
40,284,1593,77,51,0.8959341,05_28_2019_processed copy.jpg
21,309,1564,53,39,0.87105036,01_10_2023 LG 282 copy 4.jpg
39,320,1506,77,51,0.90852153,05_28_2019_processed copy.jpg
38,338,1461,77,51,0.90296274,05_28_2019_processed copy.jpg
37,357,1417,77,51,0.9036327,05_28_2019_processed copy.jpg
36,376,1373,77,51,0.8918882,05_28_2019_processed copy.jpg
35,395,1332,77,51,0.90697694,05_28_2019_processed copy.jpg
34,415,1287,77,51,0.85678774,05_28_2019_processed copy.jpg
8,439,1216,84,47,0.7537082,06_04_2019_processed copy 2.jpg
74,476,1168,74,59,0.7976115,06_07_2019_processed copy.jpg
49,492,1130,48,42,0.8228545,12_13_2022 LG 282 copy.jpg
48,530,1045,48,42,0.798799,12_13_2022 LG 282 copy.jpg
73,551,1001,74,59,0.7954681,06_07_2019_processed copy.jpg
47,568,962,48,42,0.7733928,12_13_2022 LG 282 copy.jpg
72,590,921,74,59,0.7897887,06_07_2019_processed copy.jpg
71,610,878,74,59,0.84544057,06_07_2019_processed copy.jpg
70,627,835,74,59,0.85591996,06_07_2019_processed copy.jpg
45,672,758,48,42,0.8256481,12_13_2022 LG 282 copy.jpg
32,699,709,43,51,0.7647727,01_02_2023 LG 282 copy 9.jpg
44,718,666,48,42,0.82731575,12_13_2022 LG 282 copy.jpg
31,792,532,43,51,0.83450437,01_02_2023 LG 282 copy 9.jpg
30,819,489,43,51,0.8954029,01_02_2023 LG 282 copy 9.jpg
29,874,407,43,51,0.8763114,01_02_2023 LG 282 copy 9.jpg
16,909,370,49,47,0.8146013,01_02_2023 LG 282 copy 3.jpg
15,974,293,44,37,0.79166716,01_02_2023 LG 282 copy 2.jpg
69,1010,257,56,44,0.7745826,11_15_2022 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy.jpg
28,1065,215,43,51,0.8650637,01_02_2023 LG 282 copy 9.jpg
27,1117,186,43,51,0.86396784,01_02_2023 LG 282 copy 9.jpg
13,1221,152,51,63,0.8650654,01_02_2023 LG 282 copy.jpg
24,1270,154,43,51,0.91404146,01_02_2023 LG 282 copy 9.jpg
23,1314,150,43,51,0.79121184,01_02_2023 LG 282 copy 9.jpg
25,1357,157,43,51,0.7994484,01_02_2023 LG 282 copy 9.jpg
26,1403,161,43,51,0.7615782,01_02_2023 LG 282 copy 9.jpg
60,1495,204,50,47,0.8833794,01_10_2023 LG 282 copy 10.jpg
17,1543,231,57,43,0.85638297,12_13_2022 LG 282 copy 3.jpg
18,1583,266,57,43,0.8476549,12_13_2022 LG 282 copy 3.jpg
19,1627,307,52,49,0.8079288,12_13_2022 LG 282 copy 2.jpg
61,1698,385,50,47,0.8562391,01_10_2023 LG 282 copy 10.jpg
62,1727,428,50,47,0.83389115,01_10_2023 LG 282 copy 10.jpg
64,1778,506,60,53,0.8810598,01_10_2023 LG 282 copy 12.jpg
65,1804,548,60,53,0.85995334,01_10_2023 LG 282 copy 12.jpg
66,1852,645,60,53,0.8554606,01_10_2023 LG 282 copy 12.jpg
67,1873,693,60,53,0.78701794,01_10_2023 LG 282 copy 12.jpg
46,1900,854,48,42,0.7938048,12_13_2022 LG 282 copy.jpg
0,1922,805,76,63,0.7723483,05_10_2019 copy 2.jpg
68,1946,853,60,53,0.8010627,01_10_2023 LG 282 copy 12.jpg
20,1977,891,53,39,0.7691427,01_10_2023 LG 282 copy 4.jpg
1,2013,1014,76,63,0.8447761,05_10_2019 copy 2.jpg
2,2031,1054,76,63,0.7845645,05_10_2019 copy 2.jpg
3,2047,1094,76,63,0.81688803,05_10_2019 copy 2.jpg
4,2064,1135,76,63,0.7907822,05_10_2019 copy 2.jpg
5,2079,1175,76,63,0.8199655,05_10_2019 copy 2.jpg
9,2086,1228,100,51,0.8067447,06_04_2019_processed copy 3.jpg
6,2132,1300,76,63,0.7916166,05_10_2019 copy 2.jpg
50,2140,1263,48,42,0.7743353,12_13_2022 LG 282 copy.jpg
52,2172,1351,48,42,0.76599526,12_13_2022 LG 282 copy.jpg
7,2186,1428,76,63,0.81018883,05_10_2019 copy 2.jpg
53,2188,1391,48,42,0.7944636,12_13_2022 LG 282 copy.jpg
14,2215,1264,50,58,0.7675656,02_07_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
51,2231,1310,48,42,0.7594038,12_13_2022 LG 282 copy.jpg
54,2257,1570,48,42,0.7727189,12_13_2022 LG 282 copy.jpg
10,2266,1683,100,51,0.7616697,06_04_2019_processed copy 3.jpg
55,2272,1608,48,42,0.8447187,12_13_2022 LG 282 copy.jpg
56,2291,1654,48,42,0.85854393,12_13_2022 LG 282 copy.jpg
33,2298,1471,43,51,0.755681,01_02_2023 LG 282 copy 9.jpg
11,2311,1793,100,51,0.7850873,06_04_2019_processed copy 3.jpg
57,2314,1713,48,42,0.78310204,12_13_2022 LG 282 copy.jpg
12,2335,1891,100,51,0.8167793,06_04_2019_processed copy 3.jpg
58,2339,1778,48,42,0.78313196,12_13_2022 LG 282 copy.jpg
59,2355,1827,48,42,0.79909796,12_13_2022 LG 282 copy.jpg
