,x,y,w,h,score,match
4,64,1636,44,37,0.760565,01_02_2023 LG 282 copy 2.jpg
84,90,1449,70,56,0.7262702,05_07_2019.jpg
47,94,1849,43,51,0.73492485,01_02_2023 LG 282 copy 9.jpg
74,111,1805,60,46,0.86208457,01_10_2023 LG 282 copy 2.jpg
73,130,1757,60,46,0.86469173,01_10_2023 LG 282 copy 2.jpg
69,143,1710,48,42,0.824075,12_13_2022 LG 282 copy.jpg
68,181,1618,48,42,0.8420549,12_13_2022 LG 282 copy.jpg
67,202,1576,48,42,0.84870577,12_13_2022 LG 282 copy.jpg
66,221,1532,48,42,0.8200159,12_13_2022 LG 282 copy.jpg
72,243,1493,60,46,0.8235411,01_10_2023 LG 282 copy 2.jpg
71,265,1448,60,46,0.809709,01_10_2023 LG 282 copy 2.jpg
25,282,1398,55,56,0.8451175,01_10_2023 LG 282 copy 5.jpg
43,331,1311,43,51,0.8462626,01_02_2023 LG 282 copy 9.jpg
24,346,1274,53,39,0.72644347,01_10_2023 LG 282 copy 4.jpg
80,366,1233,49,46,0.7683846,01_10_2023 LG 282 copy 3.jpg
23,375,1192,53,39,0.8343683,01_10_2023 LG 282 copy 4.jpg
49,387,1141,77,51,0.7443145,05_28_2019_processed copy.jpg
42,417,1099,43,51,0.8789,01_02_2023 LG 282 copy 9.jpg
41,438,1054,43,51,0.84987605,01_02_2023 LG 282 copy 9.jpg
14,452,1016,49,48,0.8512937,01_02_2023 LG 282 copy 4.jpg
40,474,971,43,51,0.9159483,01_02_2023 LG 282 copy 9.jpg
39,496,929,43,51,0.8553749,01_02_2023 LG 282 copy 9.jpg
38,534,846,43,51,0.88364816,01_02_2023 LG 282 copy 9.jpg
8,553,806,49,47,0.846881,01_02_2023 LG 282 copy 3.jpg
37,578,755,43,51,0.8647127,01_02_2023 LG 282 copy 9.jpg
7,602,718,49,47,0.79841465,01_02_2023 LG 282 copy 3.jpg
13,625,673,49,48,0.8296393,01_02_2023 LG 282 copy 4.jpg
36,650,623,43,51,0.86640984,01_02_2023 LG 282 copy 9.jpg
6,679,570,49,47,0.8532652,01_02_2023 LG 282 copy 3.jpg
48,725,656,77,51,0.75421774,05_28_2019_processed copy.jpg
5,735,485,49,47,0.84804106,01_02_2023 LG 282 copy 3.jpg
3,749,411,44,37,0.7001476,01_02_2023 LG 282 copy 2.jpg
12,761,450,49,48,0.8121143,01_02_2023 LG 282 copy 4.jpg
35,827,358,43,51,0.8784735,01_02_2023 LG 282 copy 9.jpg
11,862,324,49,48,0.87001294,01_02_2023 LG 282 copy 4.jpg
33,949,253,43,51,0.9044138,01_02_2023 LG 282 copy 9.jpg
79,986,358,49,46,0.7052205,01_10_2023 LG 282 copy 3.jpg
31,1036,191,43,51,0.84758806,01_02_2023 LG 282 copy 9.jpg
28,1122,158,43,51,0.8344541,01_02_2023 LG 282 copy 9.jpg
0,1177,141,62,43,0.7291811,12_29_2022 LG 282 copy 2.jpg
26,1292,139,43,51,0.82252467,01_02_2023 LG 282 copy 9.jpg
27,1341,146,43,51,0.8718701,01_02_2023 LG 282 copy 9.jpg
2,1345,86,44,37,0.7778771,01_02_2023 LG 282 copy 2.jpg
82,1381,54,70,56,0.7451025,05_07_2019.jpg
29,1391,159,43,51,0.89204574,01_02_2023 LG 282 copy 9.jpg
22,1436,142,53,39,0.76989514,01_10_2023 LG 282 copy 4.jpg
30,1441,176,43,51,0.853805,01_02_2023 LG 282 copy 9.jpg
81,1444,106,74,59,0.7138009,06_07_2019_processed copy.jpg
32,1484,207,43,51,0.85092944,01_02_2023 LG 282 copy 9.jpg
75,1527,246,50,47,0.7851305,01_10_2023 LG 282 copy 10.jpg
76,1625,317,50,47,0.8300658,01_10_2023 LG 282 copy 10.jpg
34,1669,346,43,51,0.8318713,01_02_2023 LG 282 copy 9.jpg
77,1734,432,50,47,0.8388158,01_10_2023 LG 282 copy 10.jpg
78,1766,474,50,47,0.85227835,01_10_2023 LG 282 copy 10.jpg
83,1782,605,70,56,0.733462,05_07_2019.jpg
53,1786,666,48,42,0.73602986,12_13_2022 LG 282 copy.jpg
15,1796,519,47,40,0.806705,01_10_2023 LG 282 copy 8.jpg
50,1827,561,48,42,0.8304346,12_13_2022 LG 282 copy.jpg
51,1852,610,48,42,0.89564645,12_13_2022 LG 282 copy.jpg
52,1880,659,48,42,0.8345427,12_13_2022 LG 282 copy.jpg
56,1889,740,48,42,0.8230232,12_13_2022 LG 282 copy.jpg
54,1912,703,48,42,0.8225422,12_13_2022 LG 282 copy.jpg
55,1931,738,48,42,0.8248429,12_13_2022 LG 282 copy.jpg
10,1954,776,45,42,0.82584393,01_02_2023 LG 282 copy 6.jpg
16,1973,826,47,40,0.8163254,01_10_2023 LG 282 copy 8.jpg
17,2022,921,47,40,0.8137422,01_10_2023 LG 282 copy 8.jpg
9,2065,969,41,45,0.7769483,01_02_2023 LG 282 copy 7.jpg
21,2140,1139,47,63,0.7969556,01_02_2023 LG 282 copy 5.jpg
57,2158,1195,48,42,0.76508075,12_13_2022 LG 282 copy.jpg
58,2178,1241,48,42,0.8469256,12_13_2022 LG 282 copy.jpg
59,2200,1281,48,42,0.7746713,12_13_2022 LG 282 copy.jpg
60,2219,1316,48,42,0.8150572,12_13_2022 LG 282 copy.jpg
61,2241,1356,48,42,0.9091672,12_13_2022 LG 282 copy.jpg
62,2255,1391,48,42,0.83500916,12_13_2022 LG 282 copy.jpg
85,2265,1685,70,56,0.7076545,05_07_2019.jpg
63,2280,1442,48,42,0.88577056,12_13_2022 LG 282 copy.jpg
64,2300,1487,48,42,0.85795003,12_13_2022 LG 282 copy.jpg
65,2313,1530,48,42,0.8372002,12_13_2022 LG 282 copy.jpg
44,2336,1569,43,51,0.83035004,01_02_2023 LG 282 copy 9.jpg
18,2348,1618,47,40,0.8237525,01_10_2023 LG 282 copy 8.jpg
1,2366,1651,62,43,0.74601257,12_29_2022 LG 282 copy 2.jpg
45,2395,1692,43,51,0.82050717,01_02_2023 LG 282 copy 9.jpg
70,2413,1745,48,42,0.83119684,12_13_2022 LG 282 copy.jpg
46,2441,1785,43,51,0.86984634,01_02_2023 LG 282 copy 9.jpg
19,2456,1839,47,40,0.80334556,01_10_2023 LG 282 copy 8.jpg
20,2476,1881,47,40,0.7886969,01_10_2023 LG 282 copy 8.jpg
