,x,y,w,h,score,match
45,51,1091,48,42,0.773115,12_13_2022 LG 282 copy.jpg
70,186,1675,70,56,0.7039062,05_07_2019.jpg
21,201,1872,53,39,0.83741415,01_10_2023 LG 282 copy 4.jpg
20,243,1783,53,39,0.839795,01_10_2023 LG 282 copy 4.jpg
38,262,1733,43,51,0.86656946,01_02_2023 LG 282 copy 9.jpg
51,277,1689,48,42,0.85964626,12_13_2022 LG 282 copy.jpg
50,296,1640,48,42,0.8481563,12_13_2022 LG 282 copy.jpg
66,334,1560,74,59,0.789581,06_07_2019_processed copy.jpg
65,354,1519,74,59,0.7425072,06_07_2019_processed copy.jpg
64,370,1474,74,59,0.7581807,06_07_2019_processed copy.jpg
48,390,1433,48,42,0.83833915,12_13_2022 LG 282 copy.jpg
63,406,1389,74,59,0.8090501,06_07_2019_processed copy.jpg
67,407,1198,70,56,0.7144418,05_07_2019.jpg
47,428,1344,48,42,0.86522144,12_13_2022 LG 282 copy.jpg
39,466,1224,77,51,0.7205329,05_28_2019_processed copy.jpg
62,500,1185,74,59,0.7967807,06_07_2019_processed copy.jpg
61,521,1141,74,59,0.7434581,06_07_2019_processed copy.jpg
6,542,1102,49,47,0.75992763,01_02_2023 LG 282 copy 3.jpg
60,575,1016,74,59,0.7480261,06_07_2019_processed copy.jpg
19,603,981,53,39,0.80097485,01_10_2023 LG 282 copy 4.jpg
59,614,935,74,59,0.8137658,06_07_2019_processed copy.jpg
58,632,891,74,59,0.7868122,06_07_2019_processed copy.jpg
13,660,855,49,48,0.73711765,01_02_2023 LG 282 copy 4.jpg
12,684,813,49,48,0.7609393,01_02_2023 LG 282 copy 4.jpg
30,730,726,43,51,0.76495147,01_02_2023 LG 282 copy 9.jpg
11,754,684,49,48,0.7057829,01_02_2023 LG 282 copy 4.jpg
5,820,572,44,37,0.7259797,01_02_2023 LG 282 copy 2.jpg
17,888,473,53,39,0.7436151,01_10_2023 LG 282 copy 4.jpg
16,936,424,53,39,0.72676665,01_10_2023 LG 282 copy 4.jpg
29,1032,315,43,51,0.77835536,01_02_2023 LG 282 copy 9.jpg
28,1074,288,43,51,0.8129991,01_02_2023 LG 282 copy 9.jpg
0,1113,259,62,43,0.75844693,12_29_2022 LG 282 copy 2.jpg
24,1224,219,43,51,0.8046343,01_02_2023 LG 282 copy 9.jpg
23,1281,217,43,51,0.758199,01_02_2023 LG 282 copy 9.jpg
22,1328,216,43,51,0.824211,01_02_2023 LG 282 copy 9.jpg
25,1376,220,43,51,0.781084,01_02_2023 LG 282 copy 9.jpg
26,1422,226,43,51,0.7528525,01_02_2023 LG 282 copy 9.jpg
27,1525,260,43,51,0.8361,01_02_2023 LG 282 copy 9.jpg
9,1605,326,57,43,0.7542232,12_13_2022 LG 282 copy 3.jpg
7,1663,369,41,45,0.73549604,01_02_2023 LG 282 copy 7.jpg
14,1690,410,47,40,0.72906816,01_10_2023 LG 282 copy 8.jpg
8,1739,446,41,45,0.8064161,01_02_2023 LG 282 copy 7.jpg
10,1759,480,45,42,0.7422367,01_02_2023 LG 282 copy 6.jpg
40,1788,531,48,42,0.7289242,12_13_2022 LG 282 copy.jpg
41,1833,611,48,42,0.7736371,12_13_2022 LG 282 copy.jpg
71,1857,659,52,44,0.71833724,06_14_2019_processed copy.jpg
42,1883,708,48,42,0.775701,12_13_2022 LG 282 copy.jpg
43,1908,754,48,42,0.90141106,12_13_2022 LG 282 copy.jpg
44,1931,796,48,42,0.85553384,12_13_2022 LG 282 copy.jpg
18,1950,836,53,39,0.8397444,01_10_2023 LG 282 copy 4.jpg
1,1964,874,62,43,0.8744242,12_29_2022 LG 282 copy 2.jpg
31,1986,911,43,51,0.9018201,01_02_2023 LG 282 copy 9.jpg
2,1996,956,62,43,0.8938613,12_29_2022 LG 282 copy 2.jpg
32,2023,992,43,51,0.89647883,01_02_2023 LG 282 copy 9.jpg
46,2074,1126,48,42,0.8383215,12_13_2022 LG 282 copy.jpg
33,2112,1201,43,51,0.8499363,01_02_2023 LG 282 copy 9.jpg
34,2146,1290,43,51,0.7983805,01_02_2023 LG 282 copy 9.jpg
49,2151,1529,48,42,0.74586254,12_13_2022 LG 282 copy.jpg
69,2159,1660,70,56,0.71100974,05_07_2019.jpg
35,2194,1410,43,51,0.772602,01_02_2023 LG 282 copy 9.jpg
52,2199,1710,48,42,0.71948624,12_13_2022 LG 282 copy.jpg
57,2204,1460,60,53,0.821091,01_10_2023 LG 282 copy 12.jpg
36,2233,1498,43,51,0.834937,01_02_2023 LG 282 copy 9.jpg
68,2242,1578,70,56,0.76542085,05_07_2019.jpg
3,2273,1630,62,43,0.85356057,12_29_2022 LG 282 copy 2.jpg
15,2289,1884,47,40,0.7506606,01_10_2023 LG 282 copy 8.jpg
37,2294,1668,43,51,0.86740595,01_02_2023 LG 282 copy 9.jpg
4,2307,1713,62,43,0.86308897,12_29_2022 LG 282 copy 2.jpg
53,2331,1761,48,42,0.78469193,12_13_2022 LG 282 copy.jpg
54,2344,1797,48,42,0.90974194,12_13_2022 LG 282 copy.jpg
55,2364,1842,48,42,0.8841316,12_13_2022 LG 282 copy.jpg
56,2375,1885,48,42,0.80438346,12_13_2022 LG 282 copy.jpg
