,x,y,w,h,score,match
90,66,1735,70,56,0.71518403,05_07_2019.jpg
86,114,1507,70,56,0.7310663,05_07_2019.jpg
91,114,1755,70,56,0.7258739,05_07_2019.jpg
78,137,1228,70,56,0.71176046,05_07_2019.jpg
85,145,1429,70,56,0.7071835,05_07_2019.jpg
88,147,1567,70,56,0.7000499,05_07_2019.jpg
89,157,1655,70,56,0.71211576,05_07_2019.jpg
83,161,1387,70,56,0.7145069,05_07_2019.jpg
80,165,1303,70,56,0.71916527,05_07_2019.jpg
33,174,1856,43,51,0.8080042,01_02_2023 LG 282 copy 9.jpg
39,176,1805,77,51,0.76573515,05_28_2019_processed copy.jpg
38,196,1761,77,51,0.8133272,05_28_2019_processed copy.jpg
87,204,1563,70,56,0.71886986,05_07_2019.jpg
12,224,1713,53,39,0.7207429,01_10_2023 LG 282 copy 4.jpg
79,236,1258,70,56,0.71114683,05_07_2019.jpg
11,241,1678,53,39,0.8615238,01_10_2023 LG 282 copy 4.jpg
84,243,1425,70,56,0.72247785,05_07_2019.jpg
82,250,1372,70,56,0.703862,05_07_2019.jpg
37,252,1625,77,51,0.8587293,05_28_2019_processed copy.jpg
77,255,1208,70,56,0.7134407,05_07_2019.jpg
36,272,1583,77,51,0.77725524,05_28_2019_processed copy.jpg
35,289,1537,77,51,0.8722965,05_28_2019_processed copy.jpg
10,312,1506,53,39,0.7402538,01_10_2023 LG 282 copy 4.jpg
34,321,1450,77,51,0.7692772,05_28_2019_processed copy.jpg
81,338,1364,70,56,0.7445391,05_07_2019.jpg
29,352,1411,43,51,0.7847342,01_02_2023 LG 282 copy 9.jpg
51,387,1328,48,42,0.83641964,12_13_2022 LG 282 copy.jpg
75,403,1095,70,56,0.7096503,05_07_2019.jpg
50,404,1285,48,42,0.875066,12_13_2022 LG 282 copy.jpg
73,412,1041,70,56,0.74430543,05_07_2019.jpg
49,421,1242,48,42,0.83271945,12_13_2022 LG 282 copy.jpg
47,465,1171,48,42,0.7173611,12_13_2022 LG 282 copy.jpg
45,494,1081,48,42,0.79434323,12_13_2022 LG 282 copy.jpg
71,499,882,70,56,0.7062438,05_07_2019.jpg
43,529,981,48,42,0.7363361,12_13_2022 LG 282 copy.jpg
96,534,1005,52,44,0.73517674,06_14_2019_processed copy.jpg
70,577,822,70,56,0.7748625,05_07_2019.jpg
69,579,684,70,56,0.70914966,05_07_2019.jpg
42,630,788,48,42,0.8627676,12_13_2022 LG 282 copy.jpg
68,633,605,70,56,0.70760274,05_07_2019.jpg
95,694,662,52,44,0.721327,06_14_2019_processed copy.jpg
94,715,616,52,44,0.7648462,06_14_2019_processed copy.jpg
23,750,566,43,51,0.8253061,01_02_2023 LG 282 copy 9.jpg
22,777,524,43,51,0.8338845,01_02_2023 LG 282 copy 9.jpg
67,779,387,70,56,0.7061666,05_07_2019.jpg
93,824,442,52,44,0.73920465,06_14_2019_processed copy.jpg
66,830,320,70,56,0.7509594,05_07_2019.jpg
65,873,271,70,56,0.72269195,05_07_2019.jpg
64,905,190,70,56,0.70407706,05_07_2019.jpg
20,933,321,43,51,0.8434266,01_02_2023 LG 282 copy 9.jpg
19,979,280,43,51,0.72658044,01_02_2023 LG 282 copy 9.jpg
18,1067,219,43,51,0.76487345,01_02_2023 LG 282 copy 9.jpg
16,1105,201,43,51,0.7564124,01_02_2023 LG 282 copy 9.jpg
13,1220,176,43,51,0.84594107,01_02_2023 LG 282 copy 9.jpg
4,1265,144,41,85,0.7191733,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
14,1313,178,43,51,0.85785013,01_02_2023 LG 282 copy 9.jpg
5,1354,178,46,66,0.73066545,12_13_2022 LG 282 copy 4.jpg
15,1407,198,43,51,0.7261958,01_02_2023 LG 282 copy 9.jpg
17,1458,212,43,51,0.8032476,01_02_2023 LG 282 copy 9.jpg
59,1498,249,50,47,0.74055773,01_10_2023 LG 282 copy 10.jpg
40,1549,274,48,42,0.8130786,12_13_2022 LG 282 copy.jpg
60,1595,323,50,47,0.78292984,01_10_2023 LG 282 copy 10.jpg
21,1636,349,43,51,0.8686809,01_02_2023 LG 282 copy 9.jpg
61,1668,396,54,44,0.7576373,01_10_2023 LG 282 copy 11.jpg
92,1695,1888,70,56,0.71757835,05_07_2019.jpg
6,1758,515,53,39,0.78100353,01_10_2023 LG 282 copy 4.jpg
7,1816,596,53,39,0.7978834,01_10_2023 LG 282 copy 4.jpg
0,1833,645,62,43,0.7301586,12_29_2022 LG 282 copy 2.jpg
8,1861,698,53,39,0.75251794,01_10_2023 LG 282 copy 4.jpg
41,1887,733,48,42,0.79178286,12_13_2022 LG 282 copy.jpg
24,1899,773,43,51,0.7799375,01_02_2023 LG 282 copy 9.jpg
62,1914,815,54,44,0.8361509,01_10_2023 LG 282 copy 11.jpg
63,1928,855,54,44,0.82449853,01_10_2023 LG 282 copy 11.jpg
25,1953,893,43,51,0.88253886,01_02_2023 LG 282 copy 9.jpg
44,1988,982,48,42,0.78470373,12_13_2022 LG 282 copy.jpg
46,2000,1161,48,42,0.7169769,12_13_2022 LG 282 copy.jpg
48,2016,1194,48,42,0.7595505,12_13_2022 LG 282 copy.jpg
26,2032,1063,43,51,0.9112077,01_02_2023 LG 282 copy 9.jpg
9,2046,1124,53,39,0.88527626,01_10_2023 LG 282 copy 4.jpg
76,2074,1175,70,56,0.8104247,05_07_2019.jpg
27,2109,1223,43,51,0.8368031,01_02_2023 LG 282 copy 9.jpg
28,2127,1267,43,51,0.81548077,01_02_2023 LG 282 copy 9.jpg
52,2162,1356,48,42,0.72239256,12_13_2022 LG 282 copy.jpg
30,2201,1433,43,51,0.78136957,01_02_2023 LG 282 copy 9.jpg
31,2221,1477,43,51,0.8147532,01_02_2023 LG 282 copy 9.jpg
1,2231,1523,62,43,0.7779209,12_29_2022 LG 282 copy 2.jpg
53,2252,1564,48,42,0.8561146,12_13_2022 LG 282 copy.jpg
2,2263,1603,62,43,0.7605514,12_29_2022 LG 282 copy 2.jpg
57,2265,1763,48,42,0.74187493,12_13_2022 LG 282 copy.jpg
54,2287,1644,48,42,0.9149025,12_13_2022 LG 282 copy.jpg
55,2307,1685,48,42,0.8258745,12_13_2022 LG 282 copy.jpg
56,2322,1735,48,42,0.8690506,12_13_2022 LG 282 copy.jpg
