,x,y,w,h,score,match
33,150,1879,53,39,0.8576514,01_10_2023 LG 282 copy 4.jpg
32,165,1832,53,39,0.89202464,01_10_2023 LG 282 copy 4.jpg
31,182,1785,53,39,0.89743125,01_10_2023 LG 282 copy 4.jpg
30,197,1736,53,39,0.8770631,01_10_2023 LG 282 copy 4.jpg
29,215,1691,53,39,0.8425874,01_10_2023 LG 282 copy 4.jpg
28,251,1601,53,39,0.84731257,01_10_2023 LG 282 copy 4.jpg
27,270,1559,53,39,0.856261,01_10_2023 LG 282 copy 4.jpg
59,278,1503,77,51,0.8164711,05_28_2019_processed copy.jpg
77,303,1461,74,59,0.83597195,06_07_2019_processed copy.jpg
26,339,1381,53,39,0.8370009,01_10_2023 LG 282 copy 4.jpg
76,355,1327,74,59,0.83660877,06_07_2019_processed copy.jpg
69,373,1286,48,42,0.84579945,12_13_2022 LG 282 copy.jpg
4,388,1245,62,43,0.7915434,12_29_2022 LG 282 copy 2.jpg
68,404,1203,48,42,0.81960094,12_13_2022 LG 282 copy.jpg
67,428,1161,48,42,0.8214462,12_13_2022 LG 282 copy.jpg
3,440,1116,62,43,0.7835727,12_29_2022 LG 282 copy 2.jpg
46,467,1069,43,51,0.8490258,01_02_2023 LG 282 copy 9.jpg
2,476,1029,62,43,0.83294964,12_29_2022 LG 282 copy 2.jpg
45,499,982,43,51,0.8624141,01_02_2023 LG 282 copy 9.jpg
1,513,944,62,43,0.7589385,12_29_2022 LG 282 copy 2.jpg
66,536,900,48,42,0.80301046,12_13_2022 LG 282 copy.jpg
43,578,814,43,51,0.89622194,01_02_2023 LG 282 copy 9.jpg
42,598,771,43,51,0.88970435,01_02_2023 LG 282 copy 9.jpg
41,643,679,43,51,0.85575414,01_02_2023 LG 282 copy 9.jpg
40,664,634,43,51,0.8431303,01_02_2023 LG 282 copy 9.jpg
78,694,472,70,56,0.70991397,05_07_2019.jpg
19,698,582,41,45,0.70379037,01_02_2023 LG 282 copy 7.jpg
9,709,524,44,37,0.7204832,01_02_2023 LG 282 copy 2.jpg
79,759,455,52,44,0.7648414,06_14_2019_processed copy.jpg
23,794,410,49,48,0.8004837,01_02_2023 LG 282 copy 4.jpg
22,834,365,49,48,0.77493936,01_02_2023 LG 282 copy 4.jpg
17,870,322,41,45,0.74820054,01_02_2023 LG 282 copy 7.jpg
8,892,289,44,37,0.7279886,01_02_2023 LG 282 copy 2.jpg
12,975,212,49,47,0.8317797,01_02_2023 LG 282 copy 3.jpg
11,1021,187,49,47,0.7415364,01_02_2023 LG 282 copy 3.jpg
14,1031,276,41,45,0.70230484,01_02_2023 LG 282 copy 7.jpg
37,1069,161,43,51,0.88765633,01_02_2023 LG 282 copy 9.jpg
35,1126,144,43,51,0.8170454,01_02_2023 LG 282 copy 9.jpg
7,1228,130,46,66,0.7288233,12_13_2022 LG 282 copy 4.jpg
60,1323,212,48,42,0.72573584,12_13_2022 LG 282 copy.jpg
34,1330,142,43,51,0.87105584,01_02_2023 LG 282 copy 9.jpg
36,1386,152,43,51,0.83944446,01_02_2023 LG 282 copy 9.jpg
13,1450,183,41,45,0.72170407,01_02_2023 LG 282 copy 7.jpg
24,1484,207,47,40,0.80975556,01_10_2023 LG 282 copy 8.jpg
15,1580,278,41,45,0.8275857,01_02_2023 LG 282 copy 7.jpg
16,1620,314,41,45,0.84264994,01_02_2023 LG 282 copy 7.jpg
18,1656,356,41,45,0.8028386,01_02_2023 LG 282 copy 7.jpg
0,1678,472,62,43,0.7559667,12_29_2022 LG 282 copy 2.jpg
20,1679,394,52,49,0.81825745,12_13_2022 LG 282 copy 2.jpg
25,1712,435,47,40,0.8033067,01_10_2023 LG 282 copy 8.jpg
38,1742,472,43,51,0.83301306,01_02_2023 LG 282 copy 9.jpg
39,1769,520,43,51,0.86881626,01_02_2023 LG 282 copy 9.jpg
61,1792,565,48,42,0.7944903,12_13_2022 LG 282 copy.jpg
62,1815,620,48,42,0.88056767,12_13_2022 LG 282 copy.jpg
63,1841,669,48,42,0.91036063,12_13_2022 LG 282 copy.jpg
64,1881,755,48,42,0.8882016,12_13_2022 LG 282 copy.jpg
74,1898,794,54,44,0.79073066,01_10_2023 LG 282 copy 11.jpg
65,1942,886,48,42,0.7337416,12_13_2022 LG 282 copy.jpg
44,1971,934,43,51,0.7647667,01_02_2023 LG 282 copy 9.jpg
5,1995,979,51,63,0.7633737,01_02_2023 LG 282 copy.jpg
6,2013,1034,51,63,0.71268857,01_02_2023 LG 282 copy.jpg
47,2037,1080,43,51,0.75662917,01_02_2023 LG 282 copy 9.jpg
48,2052,1124,43,51,0.91304016,01_02_2023 LG 282 copy 9.jpg
49,2073,1170,43,51,0.8788765,01_02_2023 LG 282 copy 9.jpg
50,2090,1215,43,51,0.8717613,01_02_2023 LG 282 copy 9.jpg
51,2108,1259,43,51,0.8862963,01_02_2023 LG 282 copy 9.jpg
52,2116,1305,43,51,0.86922336,01_02_2023 LG 282 copy 9.jpg
53,2147,1343,43,51,0.82507545,01_02_2023 LG 282 copy 9.jpg
54,2182,1423,43,51,0.91102767,01_02_2023 LG 282 copy 9.jpg
75,2184,1473,60,53,0.8075647,01_10_2023 LG 282 copy 12.jpg
55,2218,1511,43,51,0.8752354,01_02_2023 LG 282 copy 9.jpg
56,2232,1557,43,51,0.8599521,01_02_2023 LG 282 copy 9.jpg
57,2270,1639,43,51,0.8152438,01_02_2023 LG 282 copy 9.jpg
70,2280,1688,48,42,0.85278475,12_13_2022 LG 282 copy.jpg
71,2300,1734,48,42,0.8002874,12_13_2022 LG 282 copy.jpg
72,2314,1781,48,42,0.9133387,12_13_2022 LG 282 copy.jpg
73,2347,1874,48,42,0.774642,12_13_2022 LG 282 copy.jpg
10,2360,1765,44,37,0.7404324,01_02_2023 LG 282 copy 2.jpg
21,2384,1804,45,42,0.7011412,01_02_2023 LG 282 copy 6.jpg
58,2443,1885,43,51,0.816526,01_02_2023 LG 282 copy 9.jpg
