,x,y,w,h,score,match
99,169,1638,70,56,0.7340719,05_07_2019.jpg
97,214,1540,70,56,0.7651107,05_07_2019.jpg
71,215,1817,48,42,0.8643859,12_13_2022 LG 282 copy.jpg
70,231,1772,48,42,0.88535815,12_13_2022 LG 282 copy.jpg
96,246,1468,70,56,0.7103606,05_07_2019.jpg
87,247,1726,74,59,0.7879469,06_07_2019_processed copy.jpg
3,259,1684,62,43,0.82759255,12_29_2022 LG 282 copy 2.jpg
95,264,1388,70,56,0.71560186,05_07_2019.jpg
73,281,1643,60,46,0.8047792,01_10_2023 LG 282 copy 2.jpg
68,289,1594,48,42,0.73744696,12_13_2022 LG 282 copy.jpg
59,297,1543,77,51,0.7756583,05_28_2019_processed copy.jpg
67,319,1501,48,42,0.79711956,12_13_2022 LG 282 copy.jpg
94,320,1269,70,56,0.70576465,05_07_2019.jpg
66,333,1458,48,42,0.8319435,12_13_2022 LG 282 copy.jpg
86,348,1414,74,59,0.7654777,06_07_2019_processed copy.jpg
1,356,1376,62,43,0.8632255,12_29_2022 LG 282 copy 2.jpg
32,362,1546,53,39,0.74994636,01_10_2023 LG 282 copy 4.jpg
64,378,1331,48,42,0.82446873,12_13_2022 LG 282 copy.jpg
13,397,1289,49,47,0.825383,01_02_2023 LG 282 copy 3.jpg
63,406,1241,48,42,0.80636865,12_13_2022 LG 282 copy.jpg
16,406,1008,41,45,0.7244369,01_02_2023 LG 282 copy 7.jpg
93,420,907,70,56,0.746323,05_07_2019.jpg
29,424,1206,53,39,0.7796235,01_10_2023 LG 282 copy 4.jpg
79,437,1341,49,46,0.72668445,01_10_2023 LG 282 copy 3.jpg
52,442,1155,43,51,0.8245668,01_02_2023 LG 282 copy 9.jpg
92,443,862,70,56,0.71591663,05_07_2019.jpg
10,452,1119,44,37,0.7048054,01_02_2023 LG 282 copy 2.jpg
91,453,832,70,56,0.7238811,05_07_2019.jpg
58,459,1867,43,51,0.7210646,01_02_2023 LG 282 copy 9.jpg
51,473,1069,43,51,0.82805043,01_02_2023 LG 282 copy 9.jpg
28,475,1205,53,39,0.7736103,01_10_2023 LG 282 copy 4.jpg
25,489,1030,53,39,0.84179777,01_10_2023 LG 282 copy 4.jpg
78,495,1176,49,46,0.72845185,01_10_2023 LG 282 copy 3.jpg
24,504,986,53,39,0.85658693,01_10_2023 LG 282 copy 4.jpg
90,520,705,70,56,0.7308584,05_07_2019.jpg
49,523,933,43,51,0.9028203,01_02_2023 LG 282 copy 9.jpg
77,526,1092,49,46,0.7373575,01_10_2023 LG 282 copy 3.jpg
26,529,1073,53,39,0.80309975,01_10_2023 LG 282 copy 4.jpg
43,549,654,43,51,0.7863507,01_02_2023 LG 282 copy 9.jpg
47,563,842,43,51,0.8916236,01_02_2023 LG 282 copy 9.jpg
46,582,792,43,51,0.86107033,01_02_2023 LG 282 copy 9.jpg
101,597,608,52,44,0.74046427,06_14_2019_processed copy.jpg
76,624,820,49,46,0.7280234,01_10_2023 LG 282 copy 3.jpg
44,627,690,43,51,0.8737837,01_02_2023 LG 282 copy 9.jpg
12,651,647,49,47,0.8270856,01_02_2023 LG 282 copy 3.jpg
40,698,558,43,51,0.809143,01_02_2023 LG 282 copy 9.jpg
11,728,513,49,47,0.8029694,01_02_2023 LG 282 copy 3.jpg
75,741,578,49,46,0.73926216,01_10_2023 LG 282 copy 3.jpg
9,756,479,44,37,0.7632393,01_02_2023 LG 282 copy 2.jpg
85,816,402,56,44,0.7001421,11_15_2022 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy.jpg
14,876,363,41,45,0.75376916,01_02_2023 LG 282 copy 7.jpg
88,893,255,70,56,0.7483424,05_07_2019.jpg
84,903,334,56,44,0.78982526,11_15_2022 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy.jpg
74,935,368,49,46,0.7764904,01_10_2023 LG 282 copy 3.jpg
38,954,305,43,51,0.8482026,01_02_2023 LG 282 copy 9.jpg
37,1011,283,43,51,0.89775074,01_02_2023 LG 282 copy 9.jpg
72,1108,345,60,46,0.7024559,01_10_2023 LG 282 copy 2.jpg
35,1117,269,43,51,0.8951938,01_02_2023 LG 282 copy 9.jpg
8,1127,207,44,37,0.70058644,01_02_2023 LG 282 copy 2.jpg
33,1179,187,43,51,0.7369496,01_02_2023 LG 282 copy 9.jpg
5,1184,319,66,50,0.7107601,05_10_2019_processed.jpg
34,1219,268,43,51,0.9033941,01_02_2023 LG 282 copy 9.jpg
7,1239,201,44,37,0.7701232,01_02_2023 LG 282 copy 2.jpg
36,1282,281,43,51,0.8523175,01_02_2023 LG 282 copy 9.jpg
18,1321,300,57,43,0.8107458,12_13_2022 LG 282 copy 3.jpg
19,1371,325,57,43,0.8250649,12_13_2022 LG 282 copy 3.jpg
20,1417,354,57,43,0.813123,12_13_2022 LG 282 copy 3.jpg
15,1478,392,41,45,0.8268505,01_02_2023 LG 282 copy 7.jpg
6,1509,394,41,85,0.7912036,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
60,1542,512,48,42,0.7062313,12_13_2022 LG 282 copy.jpg
21,1543,461,52,49,0.7880418,12_13_2022 LG 282 copy 2.jpg
39,1585,496,43,51,0.86128235,01_02_2023 LG 282 copy 9.jpg
41,1650,576,43,51,0.9121966,01_02_2023 LG 282 copy 9.jpg
89,1657,695,70,56,0.7526667,05_07_2019.jpg
42,1678,620,43,51,0.8672327,01_02_2023 LG 282 copy 9.jpg
57,1722,1749,43,51,0.7054918,01_02_2023 LG 282 copy 9.jpg
61,1732,717,48,42,0.8658658,12_13_2022 LG 282 copy.jpg
45,1765,760,43,51,0.881108,01_02_2023 LG 282 copy 9.jpg
23,1808,849,53,39,0.8087865,01_10_2023 LG 282 copy 4.jpg
0,1829,887,62,43,0.8370502,12_29_2022 LG 282 copy 2.jpg
48,1853,927,43,51,0.8778368,01_02_2023 LG 282 copy 9.jpg
50,1880,973,43,51,0.86803555,01_02_2023 LG 282 copy 9.jpg
62,1926,1025,48,42,0.70580953,12_13_2022 LG 282 copy.jpg
27,1956,1123,53,39,0.86808825,01_10_2023 LG 282 copy 4.jpg
22,1988,1163,45,42,0.75049865,01_02_2023 LG 282 copy 6.jpg
53,2004,1202,43,51,0.8533207,01_02_2023 LG 282 copy 9.jpg
54,2027,1245,43,51,0.8629736,01_02_2023 LG 282 copy 9.jpg
30,2041,1296,53,39,0.78556395,01_10_2023 LG 282 copy 4.jpg
31,2063,1338,53,39,0.79363483,01_10_2023 LG 282 copy 4.jpg
80,2080,1376,54,44,0.81447375,01_10_2023 LG 282 copy 11.jpg
65,2104,1412,48,42,0.7956202,12_13_2022 LG 282 copy.jpg
2,2119,1454,62,43,0.862097,12_29_2022 LG 282 copy 2.jpg
55,2150,1490,43,51,0.88052326,01_02_2023 LG 282 copy 9.jpg
98,2164,1577,70,56,0.77967685,05_07_2019.jpg
56,2172,1533,43,51,0.82169515,01_02_2023 LG 282 copy 9.jpg
81,2198,1621,54,44,0.84137636,01_10_2023 LG 282 copy 11.jpg
82,2217,1665,54,44,0.86625636,01_10_2023 LG 282 copy 11.jpg
69,2242,1708,48,42,0.8704771,12_13_2022 LG 282 copy.jpg
83,2260,1748,54,44,0.8362364,01_10_2023 LG 282 copy 11.jpg
100,2261,1789,70,56,0.7549858,05_07_2019.jpg
4,2290,1840,62,43,0.7984827,12_29_2022 LG 282 copy 2.jpg
17,2454,1853,41,45,0.76280683,01_02_2023 LG 282 copy 7.jpg
