,x,y,w,h,score,match
41,256,1891,77,51,0.8769212,05_28_2019_processed copy.jpg
55,270,1843,101,74,0.73943543,06_04_2019_processed copy.jpg
52,273,1845,48,42,0.7371058,12_13_2022 LG 282 copy.jpg
70,286,1747,70,56,0.72311,05_07_2019.jpg
67,292,1806,74,59,0.7790219,06_07_2019_processed copy.jpg
40,313,1720,77,51,0.8551971,05_28_2019_processed copy.jpg
66,313,1763,74,59,0.7853191,06_07_2019_processed copy.jpg
69,314,1468,70,56,0.7020563,05_07_2019.jpg
54,323,1669,101,74,0.82206184,06_04_2019_processed copy.jpg
68,356,1366,70,56,0.7075995,05_07_2019.jpg
49,366,1593,48,42,0.78495705,12_13_2022 LG 282 copy.jpg
53,370,1544,101,74,0.71257347,06_04_2019_processed copy.jpg
48,381,1554,48,42,0.74043125,12_13_2022 LG 282 copy.jpg
47,394,1513,48,42,0.84098905,12_13_2022 LG 282 copy.jpg
65,410,1467,74,59,0.8540328,06_07_2019_processed copy.jpg
46,424,1426,48,42,0.8256643,12_13_2022 LG 282 copy.jpg
64,442,1382,74,59,0.7992215,06_07_2019_processed copy.jpg
63,455,1343,74,59,0.83802646,06_07_2019_processed copy.jpg
62,476,1300,74,59,0.81654227,06_07_2019_processed copy.jpg
61,490,1257,74,59,0.8565151,06_07_2019_processed copy.jpg
60,508,1213,74,59,0.87370205,06_07_2019_processed copy.jpg
30,547,1129,43,51,0.8313609,01_02_2023 LG 282 copy 9.jpg
6,566,1092,53,39,0.8643252,01_10_2023 LG 282 copy 4.jpg
28,585,1042,43,51,0.8817923,01_02_2023 LG 282 copy 9.jpg
27,606,996,43,51,0.82445663,01_02_2023 LG 282 copy 9.jpg
25,644,905,43,51,0.91592085,01_02_2023 LG 282 copy 9.jpg
24,667,857,43,51,0.85399425,01_02_2023 LG 282 copy 9.jpg
3,741,732,49,47,0.7636444,01_02_2023 LG 282 copy 3.jpg
20,804,642,43,51,0.7569982,01_02_2023 LG 282 copy 9.jpg
1,833,609,44,37,0.7931648,01_02_2023 LG 282 copy 2.jpg
4,926,533,41,45,0.77581304,01_02_2023 LG 282 copy 7.jpg
17,1002,477,43,51,0.89729095,01_02_2023 LG 282 copy 9.jpg
15,1062,458,43,51,0.9234637,01_02_2023 LG 282 copy 9.jpg
14,1105,457,43,51,0.87007153,01_02_2023 LG 282 copy 9.jpg
11,1158,449,43,51,0.9330279,01_02_2023 LG 282 copy 9.jpg
13,1210,452,43,51,0.91843456,01_02_2023 LG 282 copy 9.jpg
12,1251,451,43,51,0.82468307,01_02_2023 LG 282 copy 9.jpg
16,1304,459,43,51,0.9289939,01_02_2023 LG 282 copy 9.jpg
18,1400,500,43,51,0.83220625,01_02_2023 LG 282 copy 9.jpg
5,1490,580,47,40,0.82308644,01_10_2023 LG 282 copy 8.jpg
19,1534,607,43,51,0.88365465,01_02_2023 LG 282 copy 9.jpg
42,1607,690,48,42,0.81538653,12_13_2022 LG 282 copy.jpg
21,1637,720,43,51,0.8199164,01_02_2023 LG 282 copy 9.jpg
22,1692,802,43,51,0.9079669,01_02_2023 LG 282 copy 9.jpg
23,1720,845,43,51,0.85529643,01_02_2023 LG 282 copy 9.jpg
0,1771,934,51,63,0.74634874,01_02_2023 LG 282 copy.jpg
26,1800,980,43,51,0.8472228,01_02_2023 LG 282 copy 9.jpg
44,1824,1169,48,42,0.72633153,12_13_2022 LG 282 copy.jpg
29,1841,1053,43,51,0.81243837,01_02_2023 LG 282 copy 9.jpg
43,1859,1096,48,42,0.8223831,12_13_2022 LG 282 copy.jpg
45,1861,1267,48,42,0.7713128,12_13_2022 LG 282 copy.jpg
57,1871,1136,54,44,0.84007865,01_10_2023 LG 282 copy 11.jpg
31,1899,1170,43,51,0.8405875,01_02_2023 LG 282 copy 9.jpg
32,1920,1214,43,51,0.8023313,01_02_2023 LG 282 copy 9.jpg
7,1939,1259,53,39,0.73710984,01_10_2023 LG 282 copy 4.jpg
33,1961,1294,43,51,0.7910711,01_02_2023 LG 282 copy 9.jpg
34,1983,1332,43,51,0.8128056,01_02_2023 LG 282 copy 9.jpg
8,1996,1381,53,39,0.7895227,01_10_2023 LG 282 copy 4.jpg
35,2024,1414,43,51,0.8440387,01_02_2023 LG 282 copy 9.jpg
36,2032,1460,43,51,0.826918,01_02_2023 LG 282 copy 9.jpg
37,2048,1502,43,51,0.851585,01_02_2023 LG 282 copy 9.jpg
38,2100,1566,43,51,0.7905766,01_02_2023 LG 282 copy 9.jpg
50,2117,1681,48,42,0.82688737,12_13_2022 LG 282 copy.jpg
51,2143,1714,48,42,0.81257695,12_13_2022 LG 282 copy.jpg
39,2150,1609,43,51,0.85651207,01_02_2023 LG 282 copy 9.jpg
58,2151,1753,60,53,0.76418555,01_10_2023 LG 282 copy 12.jpg
2,2170,1782,75,57,0.7336819,05_14_2019_processed copy.jpg
56,2191,1839,50,47,0.70081764,01_10_2023 LG 282 copy 10.jpg
59,2213,1871,60,53,0.8103737,01_10_2023 LG 282 copy 12.jpg
9,2214,1825,53,39,0.7502291,01_10_2023 LG 282 copy 4.jpg
10,2246,1905,53,39,0.7637618,01_10_2023 LG 282 copy 4.jpg
