,x,y,w,h,score,match
63,82,1569,54,44,0.7164213,01_10_2023 LG 282 copy 11.jpg
80,147,1830,70,56,0.71255374,05_07_2019.jpg
52,168,1786,77,51,0.7969508,05_28_2019_processed copy.jpg
26,172,1820,53,39,0.81352884,01_10_2023 LG 282 copy 4.jpg
51,183,1737,77,51,0.83893466,05_28_2019_processed copy.jpg
6,194,1117,41,85,0.758427,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
50,203,1691,77,51,0.9243394,05_28_2019_processed copy.jpg
5,226,1104,41,85,0.7124915,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
25,231,1657,53,39,0.7759799,01_10_2023 LG 282 copy 4.jpg
49,236,1598,77,51,0.8193699,05_28_2019_processed copy.jpg
48,254,1552,77,51,0.83978057,05_28_2019_processed copy.jpg
47,272,1508,77,51,0.8103291,05_28_2019_processed copy.jpg
46,288,1464,77,51,0.85283065,05_28_2019_processed copy.jpg
62,314,1433,49,46,0.7319718,01_10_2023 LG 282 copy 3.jpg
45,323,1378,77,51,0.8780782,05_28_2019_processed copy.jpg
75,338,979,70,56,0.74312395,05_07_2019.jpg
44,342,1335,77,51,0.8636362,05_28_2019_processed copy.jpg
43,358,1293,77,51,0.7640981,05_28_2019_processed copy.jpg
42,377,1248,77,51,0.80754656,05_28_2019_processed copy.jpg
2,378,1212,84,47,0.76591325,06_04_2019_processed copy 2.jpg
61,402,1153,101,74,0.7719775,06_04_2019_processed copy.jpg
73,403,889,70,56,0.7095321,05_07_2019.jpg
56,409,1157,48,42,0.72129184,12_13_2022 LG 282 copy.jpg
72,432,837,70,56,0.72502154,05_07_2019.jpg
70,452,1085,74,59,0.82329535,06_07_2019_processed copy.jpg
37,491,1003,43,51,0.7354622,01_02_2023 LG 282 copy 9.jpg
1,504,922,84,47,0.7675379,06_04_2019_processed copy 2.jpg
41,554,831,77,51,0.7443825,05_28_2019_processed copy.jpg
40,589,749,77,51,0.8164763,05_28_2019_processed copy.jpg
69,616,707,74,59,0.82081485,06_07_2019_processed copy.jpg
0,637,625,84,47,0.79378855,06_04_2019_processed copy 2.jpg
10,684,582,44,37,0.7131117,01_02_2023 LG 282 copy 2.jpg
33,810,355,43,51,0.8941302,01_02_2023 LG 282 copy 9.jpg
32,852,304,43,51,0.8382664,01_02_2023 LG 282 copy 9.jpg
9,883,277,44,37,0.79016876,01_02_2023 LG 282 copy 2.jpg
14,909,238,49,47,0.8444346,01_02_2023 LG 282 copy 3.jpg
13,944,196,49,47,0.7589138,01_02_2023 LG 282 copy 3.jpg
12,988,164,49,47,0.8487894,01_02_2023 LG 282 copy 3.jpg
29,1031,132,43,51,0.8197828,01_02_2023 LG 282 copy 9.jpg
27,1072,110,43,51,0.732928,01_02_2023 LG 282 copy 9.jpg
7,1093,29,50,58,0.7908948,02_07_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
30,1167,169,43,51,0.7344595,01_02_2023 LG 282 copy 9.jpg
8,1187,83,46,66,0.7206736,12_13_2022 LG 282 copy 4.jpg
31,1279,182,43,51,0.73079646,01_02_2023 LG 282 copy 9.jpg
53,1313,60,48,42,0.71712744,12_13_2022 LG 282 copy.jpg
21,1325,87,53,39,0.7608134,01_10_2023 LG 282 copy 4.jpg
16,1380,105,57,43,0.71344155,12_13_2022 LG 282 copy 3.jpg
28,1434,120,43,51,0.81181645,01_02_2023 LG 282 copy 9.jpg
18,1477,156,47,40,0.75044227,01_10_2023 LG 282 copy 8.jpg
17,1517,181,57,43,0.7647259,12_13_2022 LG 282 copy 3.jpg
15,1576,224,41,45,0.8121905,01_02_2023 LG 282 copy 7.jpg
19,1641,300,47,40,0.7223624,01_10_2023 LG 282 copy 8.jpg
22,1678,335,53,39,0.8253092,01_10_2023 LG 282 copy 4.jpg
66,1725,414,60,53,0.7498067,01_10_2023 LG 282 copy 12.jpg
34,1760,456,43,51,0.8419816,01_02_2023 LG 282 copy 9.jpg
54,1806,557,48,42,0.7819426,12_13_2022 LG 282 copy.jpg
67,1826,605,60,53,0.75570136,01_10_2023 LG 282 copy 12.jpg
35,1883,674,43,51,0.8278684,01_02_2023 LG 282 copy 9.jpg
23,1896,722,53,39,0.80546516,01_10_2023 LG 282 copy 4.jpg
36,1917,756,43,51,0.8507651,01_02_2023 LG 282 copy 9.jpg
55,1971,867,48,42,0.76653296,12_13_2022 LG 282 copy.jpg
74,1994,959,70,56,0.82039833,05_07_2019.jpg
20,2032,1061,47,40,0.77086157,01_10_2023 LG 282 copy 8.jpg
76,2087,1173,70,56,0.8395975,05_07_2019.jpg
38,2095,1126,43,51,0.8307366,01_02_2023 LG 282 copy 9.jpg
77,2143,1288,70,56,0.8473401,05_07_2019.jpg
24,2145,1248,53,39,0.8314892,01_10_2023 LG 282 copy 4.jpg
68,2173,1337,62,50,0.794437,05_10_2019.jpg
78,2200,1413,70,56,0.8466717,05_07_2019.jpg
79,2216,1459,70,56,0.785802,05_07_2019.jpg
71,2233,1242,74,59,0.7022988,06_07_2019_processed copy.jpg
57,2255,1512,48,42,0.80115867,12_13_2022 LG 282 copy.jpg
11,2255,1551,75,57,0.7525541,05_14_2019_processed copy.jpg
64,2289,1589,54,44,0.82997763,01_10_2023 LG 282 copy 11.jpg
58,2310,1640,48,42,0.78937703,12_13_2022 LG 282 copy.jpg
59,2324,1679,48,42,0.74615985,12_13_2022 LG 282 copy.jpg
60,2344,1737,48,42,0.79853284,12_13_2022 LG 282 copy.jpg
