,x,y,w,h,score,match
35,209,1886,43,51,0.85349953,01_02_2023 LG 282 copy 9.jpg
34,219,1838,43,51,0.8560497,01_02_2023 LG 282 copy 9.jpg
3,243,1724,41,85,0.84136975,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
40,257,1657,77,51,0.8157474,05_28_2019_processed copy.jpg
39,273,1611,77,51,0.8491239,05_28_2019_processed copy.jpg
38,287,1571,77,51,0.86732495,05_28_2019_processed copy.jpg
70,307,1436,70,56,0.80158305,05_07_2019.jpg
64,307,1530,74,59,0.83941764,06_07_2019_processed copy.jpg
69,335,1347,70,56,0.8079269,05_07_2019.jpg
53,348,1637,49,46,0.762921,01_10_2023 LG 282 copy 3.jpg
68,360,1262,70,56,0.82024086,05_07_2019.jpg
52,360,1597,49,46,0.70582193,01_10_2023 LG 282 copy 3.jpg
51,374,1557,49,46,0.73413664,01_10_2023 LG 282 copy 3.jpg
14,397,1371,41,45,0.70541865,01_02_2023 LG 282 copy 7.jpg
67,401,1142,70,56,0.76709807,05_07_2019.jpg
2,430,1198,62,43,0.7128527,12_29_2022 LG 282 copy 2.jpg
37,435,1100,77,51,0.7694295,05_28_2019_processed copy.jpg
63,461,1057,74,59,0.8594608,06_07_2019_processed copy.jpg
50,483,1202,49,46,0.71529454,01_10_2023 LG 282 copy 3.jpg
42,493,965,48,42,0.8507095,12_13_2022 LG 282 copy.jpg
36,502,914,77,51,0.7532809,05_28_2019_processed copy.jpg
29,531,870,43,51,0.77850384,01_02_2023 LG 282 copy 9.jpg
62,543,823,74,59,0.7704483,06_07_2019_processed copy.jpg
19,562,1436,53,39,0.7195519,01_10_2023 LG 282 copy 4.jpg
27,619,691,43,51,0.86493415,01_02_2023 LG 282 copy 9.jpg
17,641,651,53,39,0.7918825,01_10_2023 LG 282 copy 4.jpg
16,700,570,53,39,0.75773394,01_10_2023 LG 282 copy 4.jpg
26,778,506,43,51,0.8089298,01_02_2023 LG 282 copy 9.jpg
25,827,478,43,51,0.7860674,01_02_2023 LG 282 copy 9.jpg
24,867,426,43,51,0.90289426,01_02_2023 LG 282 copy 9.jpg
0,920,392,62,43,0.77045006,12_29_2022 LG 282 copy 2.jpg
12,924,347,49,47,0.77193123,01_02_2023 LG 282 copy 3.jpg
41,1016,376,48,42,0.7902125,12_13_2022 LG 282 copy.jpg
11,1021,332,49,47,0.7992129,01_02_2023 LG 282 copy 3.jpg
20,1109,373,43,51,0.78609717,01_02_2023 LG 282 copy 9.jpg
4,1111,325,44,37,0.804508,01_02_2023 LG 282 copy 2.jpg
21,1159,383,43,51,0.7938862,01_02_2023 LG 282 copy 9.jpg
22,1209,398,43,51,0.81928277,01_02_2023 LG 282 copy 9.jpg
23,1259,418,43,51,0.7948172,01_02_2023 LG 282 copy 9.jpg
72,1349,492,52,44,0.78824866,06_14_2019_processed copy.jpg
49,1395,522,50,47,0.8444333,01_10_2023 LG 282 copy 10.jpg
1,1501,622,62,43,0.7487627,12_29_2022 LG 282 copy 2.jpg
5,1519,660,75,57,0.7610752,05_14_2019_processed copy.jpg
18,1569,703,53,39,0.7715063,01_10_2023 LG 282 copy 4.jpg
28,1606,741,43,51,0.7468139,01_02_2023 LG 282 copy 9.jpg
13,1607,1203,41,45,0.7131416,01_02_2023 LG 282 copy 7.jpg
54,1627,1244,54,44,0.7087066,01_10_2023 LG 282 copy 11.jpg
73,1630,788,52,44,0.75237024,06_14_2019_processed copy.jpg
6,1637,831,75,57,0.74681765,05_14_2019_processed copy.jpg
71,1652,1874,70,56,0.7148943,05_07_2019.jpg
65,1664,1068,70,56,0.71787506,05_07_2019.jpg
58,1683,873,55,45,0.7588532,01_10_2023 LG 282 copy 13.jpg
7,1688,905,75,57,0.7890087,05_14_2019_processed copy.jpg
66,1698,1114,70,56,0.7397038,05_07_2019.jpg
8,1710,944,75,57,0.72966385,05_14_2019_processed copy.jpg
9,1730,981,75,57,0.99940306,05_14_2019_processed copy.jpg
74,1768,1022,52,44,0.8438297,06_14_2019_processed copy.jpg
30,1808,1110,43,51,0.74760854,01_02_2023 LG 282 copy 9.jpg
60,1867,1229,56,44,0.7257433,11_15_2022 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy.jpg
31,1873,1171,43,51,0.83046824,01_02_2023 LG 282 copy 9.jpg
61,1915,1305,56,44,0.7014912,11_15_2022 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy.jpg
32,1915,1246,43,51,0.84596235,01_02_2023 LG 282 copy 9.jpg
55,1952,1331,54,44,0.7919909,01_10_2023 LG 282 copy 11.jpg
10,1972,1409,75,57,0.7820367,05_14_2019_processed copy.jpg
59,1978,1373,55,45,0.7813282,01_10_2023 LG 282 copy 13.jpg
15,2036,1547,57,43,0.7684814,12_13_2022 LG 282 copy 3.jpg
33,2093,1563,43,51,0.8101944,01_02_2023 LG 282 copy 9.jpg
43,2115,1607,48,42,0.79767394,12_13_2022 LG 282 copy.jpg
44,2137,1646,48,42,0.7389859,12_13_2022 LG 282 copy.jpg
48,2168,1902,48,42,0.7349976,12_13_2022 LG 282 copy.jpg
45,2179,1729,48,42,0.8424986,12_13_2022 LG 282 copy.jpg
56,2196,1766,54,44,0.8139096,01_10_2023 LG 282 copy 11.jpg
46,2222,1812,48,42,0.8599785,12_13_2022 LG 282 copy.jpg
47,2244,1859,48,42,0.86582273,12_13_2022 LG 282 copy.jpg
57,2254,1900,54,44,0.7241931,01_10_2023 LG 282 copy 11.jpg
