,x,y,w,h,score,match
35,75,1818,53,39,0.89320934,01_10_2023 LG 282 copy 4.jpg
34,94,1772,53,39,0.91123986,01_10_2023 LG 282 copy 4.jpg
33,111,1724,53,39,0.888734,01_10_2023 LG 282 copy 4.jpg
61,127,1839,43,51,0.72924155,01_02_2023 LG 282 copy 9.jpg
32,130,1679,53,39,0.91859835,01_10_2023 LG 282 copy 4.jpg
31,151,1631,53,39,0.7872436,01_10_2023 LG 282 copy 4.jpg
30,170,1587,53,39,0.87210757,01_10_2023 LG 282 copy 4.jpg
29,192,1545,53,39,0.9020312,01_10_2023 LG 282 copy 4.jpg
28,208,1502,53,39,0.87605023,01_10_2023 LG 282 copy 4.jpg
27,229,1456,53,39,0.8921065,01_10_2023 LG 282 copy 4.jpg
26,248,1411,53,39,0.9001129,01_10_2023 LG 282 copy 4.jpg
62,249,1851,43,51,0.7926048,01_02_2023 LG 282 copy 9.jpg
25,266,1369,53,39,0.9043261,01_10_2023 LG 282 copy 4.jpg
24,285,1321,53,39,0.7129901,01_10_2023 LG 282 copy 4.jpg
57,305,1510,43,51,0.7127408,01_02_2023 LG 282 copy 9.jpg
23,305,1281,53,39,0.7948751,01_10_2023 LG 282 copy 4.jpg
65,317,1230,77,51,0.80629975,05_28_2019_processed copy.jpg
64,334,1190,77,51,0.80753416,05_28_2019_processed copy.jpg
87,341,1140,70,56,0.7798893,05_07_2019.jpg
86,355,979,70,56,0.75769365,05_07_2019.jpg
1,357,1114,84,47,0.81555104,06_04_2019_processed copy 2.jpg
60,398,1833,43,51,0.76524526,01_02_2023 LG 282 copy 9.jpg
22,399,1074,53,39,0.83697104,01_10_2023 LG 282 copy 4.jpg
84,418,1022,74,59,0.80551875,06_07_2019_processed copy.jpg
21,438,990,53,39,0.8576075,01_10_2023 LG 282 copy 4.jpg
59,440,1832,43,51,0.7144812,01_02_2023 LG 282 copy 9.jpg
54,462,941,43,51,0.83561355,01_02_2023 LG 282 copy 9.jpg
7,487,902,49,47,0.8351434,01_02_2023 LG 282 copy 3.jpg
58,496,1828,43,51,0.7062758,01_02_2023 LG 282 copy 9.jpg
53,522,817,43,51,0.80643785,01_02_2023 LG 282 copy 9.jpg
51,545,774,43,51,0.8371678,01_02_2023 LG 282 copy 9.jpg
83,560,729,74,59,0.80500716,06_07_2019_processed copy.jpg
50,589,688,43,51,0.80736613,01_02_2023 LG 282 copy 9.jpg
49,638,595,43,51,0.8626274,01_02_2023 LG 282 copy 9.jpg
19,667,544,53,39,0.88178885,01_10_2023 LG 282 copy 4.jpg
48,739,421,43,51,0.8465693,01_02_2023 LG 282 copy 9.jpg
85,778,328,70,56,0.7311601,05_07_2019.jpg
17,839,298,53,39,0.7236728,01_10_2023 LG 282 copy 4.jpg
46,882,267,43,51,0.77791816,01_02_2023 LG 282 copy 9.jpg
44,919,214,43,51,0.9085006,01_02_2023 LG 282 copy 9.jpg
41,1002,157,43,51,0.80739295,01_02_2023 LG 282 copy 9.jpg
9,1005,220,41,45,0.7007362,01_02_2023 LG 282 copy 7.jpg
40,1056,137,43,51,0.82969457,01_02_2023 LG 282 copy 9.jpg
38,1103,126,43,51,0.87259305,01_02_2023 LG 282 copy 9.jpg
5,1161,88,41,85,0.8023168,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
16,1262,122,53,39,0.78435314,01_10_2023 LG 282 copy 4.jpg
37,1313,125,43,51,0.9190456,01_02_2023 LG 282 copy 9.jpg
39,1360,135,43,51,0.8826433,01_02_2023 LG 282 copy 9.jpg
42,1409,158,43,51,0.8935131,01_02_2023 LG 282 copy 9.jpg
6,1427,57,49,47,0.7293057,01_02_2023 LG 282 copy 3.jpg
43,1457,183,43,51,0.8105708,01_02_2023 LG 282 copy 9.jpg
45,1500,214,43,51,0.78784776,01_02_2023 LG 282 copy 9.jpg
2,1575,298,62,43,0.8294459,12_29_2022 LG 282 copy 2.jpg
8,1609,174,41,45,0.7034057,01_02_2023 LG 282 copy 7.jpg
47,1619,334,43,51,0.8649214,01_02_2023 LG 282 copy 9.jpg
18,1680,419,53,39,0.8150577,01_10_2023 LG 282 copy 4.jpg
10,1729,462,41,45,0.8184495,01_02_2023 LG 282 copy 7.jpg
4,1760,544,51,63,0.75260234,01_02_2023 LG 282 copy.jpg
0,1760,606,84,47,0.80042684,06_04_2019_processed copy 2.jpg
12,1842,691,45,42,0.7791221,01_02_2023 LG 282 copy 6.jpg
14,1858,736,47,40,0.7995708,01_10_2023 LG 282 copy 8.jpg
20,1870,774,53,39,0.7946027,01_10_2023 LG 282 copy 4.jpg
52,1889,813,43,51,0.81617403,01_02_2023 LG 282 copy 9.jpg
66,1916,867,48,42,0.8213175,12_13_2022 LG 282 copy.jpg
67,1932,918,48,42,0.7328389,12_13_2022 LG 282 copy.jpg
13,1962,716,45,42,0.7301512,01_02_2023 LG 282 copy 6.jpg
15,1970,963,47,63,0.81224996,01_02_2023 LG 282 copy 5.jpg
81,1977,1024,54,44,0.8719388,01_10_2023 LG 282 copy 11.jpg
82,1996,1063,54,44,0.84044105,01_10_2023 LG 282 copy 11.jpg
3,2013,1109,62,43,0.8313472,12_29_2022 LG 282 copy 2.jpg
55,2035,1149,43,51,0.7987699,01_02_2023 LG 282 copy 9.jpg
56,2060,1195,43,51,0.78931266,01_02_2023 LG 282 copy 9.jpg
68,2070,1246,48,42,0.8331099,12_13_2022 LG 282 copy.jpg
69,2086,1286,48,42,0.8208976,12_13_2022 LG 282 copy.jpg
11,2125,1319,41,45,0.7811356,01_02_2023 LG 282 copy 7.jpg
70,2132,1365,48,42,0.8584136,12_13_2022 LG 282 copy.jpg
71,2151,1405,48,42,0.84397334,12_13_2022 LG 282 copy.jpg
72,2167,1454,48,42,0.85190535,12_13_2022 LG 282 copy.jpg
73,2185,1494,48,42,0.85937583,12_13_2022 LG 282 copy.jpg
74,2199,1541,48,42,0.9076201,12_13_2022 LG 282 copy.jpg
75,2219,1584,48,42,0.89235234,12_13_2022 LG 282 copy.jpg
76,2237,1626,48,42,0.898488,12_13_2022 LG 282 copy.jpg
77,2252,1668,48,42,0.9053811,12_13_2022 LG 282 copy.jpg
78,2273,1713,48,42,0.8544122,12_13_2022 LG 282 copy.jpg
79,2289,1758,48,42,0.8841136,12_13_2022 LG 282 copy.jpg
80,2309,1808,48,42,0.8464354,12_13_2022 LG 282 copy.jpg
36,2333,1852,53,39,0.76635706,01_10_2023 LG 282 copy 4.jpg
63,2344,1893,43,51,0.7773166,01_02_2023 LG 282 copy 9.jpg
