,x,y,w,h,score,match
85,12,1867,70,56,0.75555414,05_07_2019.jpg
84,74,1683,70,56,0.7199621,05_07_2019.jpg
32,77,1905,53,39,0.82029504,01_10_2023 LG 282 copy 4.jpg
82,89,1626,70,56,0.7749024,05_07_2019.jpg
31,92,1861,53,39,0.8581865,01_10_2023 LG 282 copy 4.jpg
30,110,1819,53,39,0.8278583,01_10_2023 LG 282 copy 4.jpg
43,130,1768,43,51,0.8006158,01_02_2023 LG 282 copy 9.jpg
64,152,1730,60,46,0.8494846,01_10_2023 LG 282 copy 2.jpg
63,175,1688,60,46,0.75700396,01_10_2023 LG 282 copy 2.jpg
57,187,1641,48,42,0.7597934,12_13_2022 LG 282 copy.jpg
56,206,1597,48,42,0.7836033,12_13_2022 LG 282 copy.jpg
13,213,1648,41,45,0.7411746,01_02_2023 LG 282 copy 7.jpg
14,225,1553,49,48,0.76097995,01_02_2023 LG 282 copy 4.jpg
55,242,1512,48,42,0.7997967,12_13_2022 LG 282 copy.jpg
11,300,1433,49,47,0.7476977,01_02_2023 LG 282 copy 3.jpg
53,306,1383,48,42,0.7291455,12_13_2022 LG 282 copy.jpg
10,335,1347,49,47,0.7333686,01_02_2023 LG 282 copy 3.jpg
52,339,1300,48,42,0.8505362,12_13_2022 LG 282 copy.jpg
27,359,1263,53,39,0.8188255,01_10_2023 LG 282 copy 4.jpg
51,391,1225,48,42,0.7144211,12_13_2022 LG 282 copy.jpg
49,402,1174,48,42,0.8441279,12_13_2022 LG 282 copy.jpg
48,419,1131,48,42,0.850279,12_13_2022 LG 282 copy.jpg
47,438,1089,48,42,0.77588284,12_13_2022 LG 282 copy.jpg
46,463,1048,48,42,0.8197508,12_13_2022 LG 282 copy.jpg
45,504,965,48,42,0.7581098,12_13_2022 LG 282 copy.jpg
62,527,928,60,46,0.8064135,01_10_2023 LG 282 copy 2.jpg
44,545,879,48,42,0.80157024,12_13_2022 LG 282 copy.jpg
76,548,826,70,56,0.8023635,05_07_2019.jpg
24,599,794,53,39,0.8021934,01_10_2023 LG 282 copy 4.jpg
70,623,852,49,46,0.7303478,01_10_2023 LG 282 copy 3.jpg
40,625,740,43,51,0.8682039,01_02_2023 LG 282 copy 9.jpg
1,647,695,62,43,0.7287215,12_29_2022 LG 282 copy 2.jpg
39,677,633,43,51,0.82822686,01_02_2023 LG 282 copy 9.jpg
22,705,608,53,39,0.84704,01_10_2023 LG 282 copy 4.jpg
20,731,569,53,39,0.79810387,01_10_2023 LG 282 copy 4.jpg
19,762,530,53,39,0.85145026,01_10_2023 LG 282 copy 4.jpg
75,785,370,70,56,0.72930014,05_07_2019.jpg
37,834,439,43,51,0.88394105,01_02_2023 LG 282 copy 9.jpg
35,915,368,43,51,0.8635846,01_02_2023 LG 282 copy 9.jpg
34,958,335,43,51,0.7612578,01_02_2023 LG 282 copy 9.jpg
7,1009,286,41,85,0.7201844,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
6,1061,267,41,85,0.7535054,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
4,1166,250,41,85,0.7167428,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
33,1206,310,43,51,0.7506373,01_02_2023 LG 282 copy 9.jpg
5,1265,253,41,85,0.7239646,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
12,1279,843,41,45,0.7159035,01_02_2023 LG 282 copy 7.jpg
18,1358,305,53,39,0.79057187,01_10_2023 LG 282 copy 4.jpg
8,1412,294,41,85,0.7433804,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
9,1459,346,50,58,0.70901495,02_07_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
36,1499,380,43,51,0.86588645,01_02_2023 LG 282 copy 9.jpg
15,1540,442,47,40,0.7430419,01_10_2023 LG 282 copy 8.jpg
3,1584,457,51,63,0.84220856,01_02_2023 LG 282 copy.jpg
38,1653,545,43,51,0.757877,01_02_2023 LG 282 copy 9.jpg
21,1679,594,53,39,0.7332937,01_10_2023 LG 282 copy 4.jpg
65,1697,642,50,47,0.8036095,01_10_2023 LG 282 copy 10.jpg
66,1726,687,50,47,0.7847674,01_10_2023 LG 282 copy 10.jpg
23,1756,733,53,39,0.7351564,01_10_2023 LG 282 copy 4.jpg
41,1803,826,43,51,0.7626252,01_02_2023 LG 282 copy 9.jpg
71,1815,875,60,53,0.81001186,01_10_2023 LG 282 copy 12.jpg
78,1818,1150,70,56,0.70718575,05_07_2019.jpg
67,1830,922,50,47,0.79570943,01_10_2023 LG 282 copy 10.jpg
79,1835,1191,70,56,0.77121615,05_07_2019.jpg
25,1855,960,53,39,0.8608973,01_10_2023 LG 282 copy 4.jpg
80,1856,1276,70,56,0.7320378,05_07_2019.jpg
50,1868,1219,48,42,0.78542143,12_13_2022 LG 282 copy.jpg
42,1879,998,43,51,0.8761335,01_02_2023 LG 282 copy 9.jpg
2,1907,1096,62,43,0.80276304,12_29_2022 LG 282 copy 2.jpg
26,1943,1162,53,39,0.81798965,01_10_2023 LG 282 copy 4.jpg
16,1967,1262,47,40,0.76820695,01_10_2023 LG 282 copy 8.jpg
28,1993,1297,53,39,0.71921515,01_10_2023 LG 282 copy 4.jpg
0,1996,1743,100,51,0.71292573,06_04_2019_processed copy 3.jpg
17,1998,1350,47,40,0.7331186,01_10_2023 LG 282 copy 8.jpg
81,2009,1550,70,56,0.7153361,05_07_2019.jpg
77,2011,1134,70,56,0.716647,05_07_2019.jpg
68,2017,1394,50,47,0.7150158,01_10_2023 LG 282 copy 10.jpg
69,2029,1440,50,47,0.73251855,01_10_2023 LG 282 copy 10.jpg
54,2050,1478,48,42,0.8144401,12_13_2022 LG 282 copy.jpg
72,2066,1514,60,53,0.73268014,01_10_2023 LG 282 copy 12.jpg
29,2093,1557,53,39,0.7404112,01_10_2023 LG 282 copy 4.jpg
83,2106,1633,70,56,0.7497001,05_07_2019.jpg
58,2133,1691,48,42,0.7668615,12_13_2022 LG 282 copy.jpg
73,2144,1731,60,53,0.75213027,01_10_2023 LG 282 copy 12.jpg
59,2165,1777,48,42,0.724639,12_13_2022 LG 282 copy.jpg
60,2185,1822,48,42,0.76073736,12_13_2022 LG 282 copy.jpg
61,2219,1901,48,42,0.78669846,12_13_2022 LG 282 copy.jpg
74,2419,9,70,56,0.700615,05_07_2019.jpg
