,x,y,w,h,score,match
70,130,1866,70,56,0.71496266,05_07_2019.jpg
23,314,1905,53,39,0.7708662,01_10_2023 LG 282 copy 4.jpg
22,325,1870,53,39,0.91199595,01_10_2023 LG 282 copy 4.jpg
21,342,1824,53,39,0.85681933,01_10_2023 LG 282 copy 4.jpg
68,356,1773,74,59,0.8102426,06_07_2019_processed copy.jpg
20,368,1735,53,39,0.82017195,01_10_2023 LG 282 copy 4.jpg
40,387,1686,43,51,0.7990829,01_02_2023 LG 282 copy 9.jpg
19,396,1648,53,39,0.83950686,01_10_2023 LG 282 copy 4.jpg
39,413,1598,43,51,0.82999897,01_02_2023 LG 282 copy 9.jpg
50,424,1556,48,42,0.775443,12_13_2022 LG 282 copy.jpg
49,438,1515,48,42,0.7617705,12_13_2022 LG 282 copy.jpg
77,444,1478,52,44,0.764366,06_14_2019_processed copy.jpg
48,465,1432,48,42,0.8060656,12_13_2022 LG 282 copy.jpg
47,490,1346,48,42,0.7896811,12_13_2022 LG 282 copy.jpg
67,506,1302,74,59,0.70838696,06_07_2019_processed copy.jpg
66,522,1257,74,59,0.77385783,06_07_2019_processed copy.jpg
65,536,1214,74,59,0.8177273,06_07_2019_processed copy.jpg
35,560,1172,43,51,0.81078726,01_02_2023 LG 282 copy 9.jpg
46,571,1132,48,42,0.808153,12_13_2022 LG 282 copy.jpg
45,605,1046,48,42,0.82639354,12_13_2022 LG 282 copy.jpg
44,624,1002,48,42,0.7440578,12_13_2022 LG 282 copy.jpg
76,638,959,52,44,0.78098,06_14_2019_processed copy.jpg
75,659,913,52,44,0.792966,06_14_2019_processed copy.jpg
74,696,818,52,44,0.7518229,06_14_2019_processed copy.jpg
73,719,775,52,44,0.76256603,06_14_2019_processed copy.jpg
29,746,728,43,51,0.797086,01_02_2023 LG 282 copy 9.jpg
72,763,684,52,44,0.79351336,06_14_2019_processed copy.jpg
9,831,599,49,48,0.78980446,01_02_2023 LG 282 copy 4.jpg
71,851,558,52,44,0.73702365,06_14_2019_processed copy.jpg
5,900,515,49,47,0.8042106,01_02_2023 LG 282 copy 3.jpg
27,986,446,43,51,0.8128745,01_02_2023 LG 282 copy 9.jpg
26,1025,422,43,51,0.814129,01_02_2023 LG 282 copy 9.jpg
43,1074,404,48,42,0.7678708,12_13_2022 LG 282 copy.jpg
25,1134,392,43,51,0.881406,01_02_2023 LG 282 copy 9.jpg
24,1173,389,43,51,0.8967006,01_02_2023 LG 282 copy 9.jpg
1,1226,382,51,63,0.8978892,01_02_2023 LG 282 copy.jpg
2,1273,382,51,63,0.7101181,01_02_2023 LG 282 copy.jpg
