,x,y,w,h,score,match
49,21,1614,48,42,0.7601324,12_13_2022 LG 282 copy.jpg
3,62,1702,45,72,0.70146716,01_10_2023 LG 282 copy.jpg
51,151,1901,48,42,0.76040405,12_13_2022 LG 282 copy.jpg
28,165,1866,53,39,0.79502475,01_10_2023 LG 282 copy 4.jpg
56,212,1741,49,46,0.8284504,01_10_2023 LG 282 copy 3.jpg
6,215,1816,50,58,0.7861728,02_07_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
74,227,1387,70,56,0.7236116,05_07_2019.jpg
67,236,1645,74,59,0.80468524,06_07_2019_processed copy.jpg
43,247,1595,77,51,0.8164297,05_28_2019_processed copy.jpg
27,273,1558,53,39,0.76645917,01_10_2023 LG 282 copy 4.jpg
26,293,1519,53,39,0.8367069,01_10_2023 LG 282 copy 4.jpg
39,333,1424,43,51,0.7917626,01_02_2023 LG 282 copy 9.jpg
42,336,1375,77,51,0.792102,05_28_2019_processed copy.jpg
41,354,1334,77,51,0.74177253,05_28_2019_processed copy.jpg
0,362,1298,84,47,0.7715862,06_04_2019_processed copy 2.jpg
40,388,1247,77,51,0.7808521,05_28_2019_processed copy.jpg
73,395,1195,70,56,0.803771,05_07_2019.jpg
72,425,1117,70,56,0.7328899,05_07_2019.jpg
71,463,1034,70,56,0.7588045,05_07_2019.jpg
47,503,1004,48,42,0.8172259,12_13_2022 LG 282 copy.jpg
66,520,961,74,59,0.8573911,06_07_2019_processed copy.jpg
65,539,917,74,59,0.8130457,06_07_2019_processed copy.jpg
46,563,879,48,42,0.79855174,12_13_2022 LG 282 copy.jpg
64,577,833,74,59,0.8376583,06_07_2019_processed copy.jpg
70,592,741,70,56,0.7206706,05_07_2019.jpg
63,598,792,74,59,0.71381754,06_07_2019_processed copy.jpg
69,635,659,70,56,0.7805685,05_07_2019.jpg
24,688,622,53,39,0.7039978,01_10_2023 LG 282 copy 4.jpg
23,706,583,53,39,0.75045425,01_10_2023 LG 282 copy 4.jpg
34,732,529,43,51,0.7926864,01_02_2023 LG 282 copy 9.jpg
33,758,484,43,51,0.828785,01_02_2023 LG 282 copy 9.jpg
22,779,448,53,39,0.82417244,01_10_2023 LG 282 copy 4.jpg
21,801,411,53,39,0.8167245,01_10_2023 LG 282 copy 4.jpg
32,869,310,43,51,0.8220666,01_02_2023 LG 282 copy 9.jpg
13,902,279,49,47,0.7803801,01_02_2023 LG 282 copy 3.jpg
12,973,202,49,47,0.7839132,01_02_2023 LG 282 copy 3.jpg
11,1021,166,49,47,0.7710437,01_02_2023 LG 282 copy 3.jpg
31,1063,137,43,51,0.78384465,01_02_2023 LG 282 copy 9.jpg
30,1112,116,43,51,0.77846336,01_02_2023 LG 282 copy 9.jpg
68,1185,87,70,56,0.75047165,05_07_2019.jpg
7,1205,45,44,37,0.80610746,01_02_2023 LG 282 copy 2.jpg
8,1318,98,44,37,0.7495485,01_02_2023 LG 282 copy 2.jpg
29,1415,113,43,51,0.7560687,01_02_2023 LG 282 copy 9.jpg
14,1478,136,41,45,0.7106321,01_02_2023 LG 282 copy 7.jpg
18,1508,162,45,42,0.7674828,01_02_2023 LG 282 copy 6.jpg
17,1551,196,57,43,0.7739975,12_13_2022 LG 282 copy 3.jpg
15,1606,242,41,45,0.7713457,01_02_2023 LG 282 copy 7.jpg
19,1631,280,47,40,0.8044049,01_10_2023 LG 282 copy 8.jpg
16,1682,313,41,45,0.7358145,01_02_2023 LG 282 copy 7.jpg
20,1702,362,47,40,0.7396478,01_10_2023 LG 282 copy 8.jpg
44,1726,396,48,42,0.75404507,12_13_2022 LG 282 copy.jpg
5,1749,436,62,43,0.73271644,12_29_2022 LG 282 copy 2.jpg
52,1774,485,50,47,0.77373075,01_10_2023 LG 282 copy 10.jpg
53,1800,528,50,47,0.7661946,01_10_2023 LG 282 copy 10.jpg
35,1834,567,43,51,0.7661158,01_02_2023 LG 282 copy 9.jpg
58,1843,621,60,53,0.80221343,01_10_2023 LG 282 copy 12.jpg
59,1865,661,60,53,0.7363015,01_10_2023 LG 282 copy 12.jpg
60,1883,702,60,53,0.7692817,01_10_2023 LG 282 copy 12.jpg
61,1901,742,60,53,0.7071938,01_10_2023 LG 282 copy 12.jpg
62,1917,783,60,53,0.75010157,01_10_2023 LG 282 copy 12.jpg
45,1946,816,48,42,0.74580157,12_13_2022 LG 282 copy.jpg
75,1962,865,52,44,0.713138,06_14_2019_processed copy.jpg
36,2006,942,43,51,0.76150197,01_02_2023 LG 282 copy 9.jpg
54,2047,1020,49,46,0.73821235,01_10_2023 LG 282 copy 3.jpg
37,2080,1107,43,51,0.77840406,01_02_2023 LG 282 copy 9.jpg
38,2170,1321,43,51,0.82508713,01_02_2023 LG 282 copy 9.jpg
9,2211,1486,75,57,0.71870065,05_14_2019_processed copy.jpg
25,2220,1452,53,39,0.7289127,01_10_2023 LG 282 copy 4.jpg
55,2257,1529,49,46,0.72867024,01_10_2023 LG 282 copy 3.jpg
57,2271,1611,54,44,0.72983193,01_10_2023 LG 282 copy 11.jpg
10,2281,1661,75,57,0.79747856,05_14_2019_processed copy.jpg
48,2289,1446,48,42,0.751814,12_13_2022 LG 282 copy.jpg
1,2308,1764,84,47,0.74606305,06_04_2019_processed copy 2.jpg
4,2328,1835,100,51,0.7318494,06_04_2019_processed copy 3.jpg
50,2353,1812,48,42,0.8328618,12_13_2022 LG 282 copy.jpg
2,2353,1895,84,47,0.7958768,06_04_2019_processed copy 2.jpg
