,x,y,w,h,score,match
70,66,302,70,56,0.7083812,05_07_2019.jpg
52,175,1891,48,42,0.7006892,12_13_2022 LG 282 copy.jpg
50,200,1849,48,42,0.7199942,12_13_2022 LG 282 copy.jpg
34,209,1806,53,39,0.81752807,01_10_2023 LG 282 copy 4.jpg
74,213,1736,70,56,0.71666366,05_07_2019.jpg
72,240,1431,70,56,0.70126086,05_07_2019.jpg
33,252,1714,53,39,0.80383515,01_10_2023 LG 282 copy 4.jpg
32,262,1661,53,39,0.8344527,01_10_2023 LG 282 copy 4.jpg
31,278,1618,53,39,0.9009274,01_10_2023 LG 282 copy 4.jpg
73,288,1505,70,56,0.84836656,05_07_2019.jpg
30,290,1571,53,39,0.87137663,01_10_2023 LG 282 copy 4.jpg
29,323,1483,53,39,0.7880674,01_10_2023 LG 282 copy 4.jpg
45,329,1428,77,51,0.82375675,05_28_2019_processed copy.jpg
69,350,1388,74,59,0.8054143,06_07_2019_processed copy.jpg
68,364,1346,74,59,0.82900673,06_07_2019_processed copy.jpg
67,383,1302,74,59,0.83579445,06_07_2019_processed copy.jpg
28,399,1264,53,39,0.8361047,01_10_2023 LG 282 copy 4.jpg
66,412,1219,74,59,0.8708876,06_07_2019_processed copy.jpg
65,441,1134,74,59,0.8091938,06_07_2019_processed copy.jpg
47,474,1054,48,42,0.8126328,12_13_2022 LG 282 copy.jpg
46,509,970,48,42,0.8271234,12_13_2022 LG 282 copy.jpg
25,530,936,53,39,0.82564306,01_10_2023 LG 282 copy 4.jpg
42,546,884,43,51,0.8460581,01_02_2023 LG 282 copy 9.jpg
23,565,847,53,39,0.87423295,01_10_2023 LG 282 copy 4.jpg
60,577,968,49,46,0.73796725,01_10_2023 LG 282 copy 3.jpg
21,581,804,53,39,0.85621655,01_10_2023 LG 282 copy 4.jpg
59,587,945,49,46,0.7365712,01_10_2023 LG 282 copy 3.jpg
20,601,763,53,39,0.8563153,01_10_2023 LG 282 copy 4.jpg
58,603,898,49,46,0.7605499,01_10_2023 LG 282 copy 3.jpg
57,638,798,49,46,0.726632,01_10_2023 LG 282 copy 3.jpg
40,642,667,43,51,0.9037251,01_02_2023 LG 282 copy 9.jpg
10,669,627,41,45,0.78839046,01_02_2023 LG 282 copy 7.jpg
56,693,683,49,46,0.73158437,01_10_2023 LG 282 copy 3.jpg
54,699,534,50,47,0.8037434,01_10_2023 LG 282 copy 10.jpg
5,724,494,44,37,0.80296755,01_02_2023 LG 282 copy 2.jpg
55,726,569,49,46,0.7392921,01_10_2023 LG 282 copy 3.jpg
4,742,455,44,37,0.83697486,01_02_2023 LG 282 copy 2.jpg
17,777,403,49,48,0.8247266,01_02_2023 LG 282 copy 4.jpg
9,818,358,41,45,0.8196439,01_02_2023 LG 282 copy 7.jpg
3,840,322,44,37,0.8546329,01_02_2023 LG 282 copy 2.jpg
2,870,282,44,37,0.80652076,01_02_2023 LG 282 copy 2.jpg
6,954,200,49,47,0.8329754,01_02_2023 LG 282 copy 3.jpg
38,1098,127,43,51,0.90341085,01_02_2023 LG 282 copy 9.jpg
36,1149,119,43,51,0.85506153,01_02_2023 LG 282 copy 9.jpg
37,1194,119,43,51,0.8081502,01_02_2023 LG 282 copy 9.jpg
35,1246,118,43,51,0.9321231,01_02_2023 LG 282 copy 9.jpg
11,1381,157,57,43,0.76070684,12_13_2022 LG 282 copy 3.jpg
16,1438,175,49,48,0.7801784,01_02_2023 LG 282 copy 4.jpg
7,1538,252,41,45,0.80250454,01_02_2023 LG 282 copy 7.jpg
8,1615,325,41,45,0.8419837,01_02_2023 LG 282 copy 7.jpg
