,x,y,w,h,score,match
74,183,1496,70,56,0.7012944,05_07_2019.jpg
78,196,1590,70,56,0.70286334,05_07_2019.jpg
28,298,1889,77,51,0.7844235,05_28_2019_processed copy.jpg
27,323,1842,77,51,0.85477835,05_28_2019_processed copy.jpg
81,341,1645,70,56,0.7327372,05_07_2019.jpg
26,344,1798,77,51,0.7841339,05_28_2019_processed copy.jpg
79,345,1615,70,56,0.74920887,05_07_2019.jpg
77,358,1588,70,56,0.7973151,05_07_2019.jpg
17,371,1769,53,39,0.7548886,01_10_2023 LG 282 copy 4.jpg
84,375,1699,70,56,0.7814218,05_07_2019.jpg
75,378,1524,70,56,0.7654039,05_07_2019.jpg
72,394,1486,70,56,0.76282436,05_07_2019.jpg
82,398,1658,70,56,0.7738079,05_07_2019.jpg
71,408,1457,70,56,0.8059582,05_07_2019.jpg
80,415,1625,70,56,0.81956327,05_07_2019.jpg
13,418,1336,41,45,0.7530659,01_02_2023 LG 282 copy 7.jpg
18,433,67,43,51,0.72816336,01_02_2023 LG 282 copy 9.jpg
76,462,1546,70,56,0.8108702,05_07_2019.jpg
11,467,48,44,37,0.71076506,01_02_2023 LG 282 copy 2.jpg
73,485,1490,70,56,0.7709714,05_07_2019.jpg
68,525,1411,70,56,0.7684378,05_07_2019.jpg
67,543,1385,70,56,0.7628337,05_07_2019.jpg
66,564,1337,70,56,0.73313916,05_07_2019.jpg
83,577,1676,70,56,0.7045775,05_07_2019.jpg
65,609,1267,70,56,0.77011335,05_07_2019.jpg
9,639,1563,41,85,0.74190646,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
64,647,1190,70,56,0.8262885,05_07_2019.jpg
63,686,1111,70,56,0.74736196,05_07_2019.jpg
0,714,1695,45,72,0.7373889,01_10_2023 LG 282 copy.jpg
24,757,1046,77,51,0.7060257,05_28_2019_processed copy.jpg
62,769,974,70,56,0.7476618,05_07_2019.jpg
12,794,1614,44,37,0.76299435,01_02_2023 LG 282 copy 2.jpg
23,804,960,77,51,0.70174,05_28_2019_processed copy.jpg
61,824,887,70,56,0.74582356,05_07_2019.jpg
60,879,804,70,56,0.72927254,05_07_2019.jpg
22,971,711,77,51,0.72572744,05_28_2019_processed copy.jpg
59,1060,584,70,56,0.7016388,05_07_2019.jpg
7,1135,534,41,85,0.71594405,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
57,1186,453,70,56,0.70690763,05_07_2019.jpg
58,1191,507,70,56,0.76587933,05_07_2019.jpg
4,1271,468,41,85,0.74867296,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
2,1331,432,41,85,0.72507185,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
15,1381,435,53,39,0.78844434,01_10_2023 LG 282 copy 4.jpg
55,1449,435,70,56,0.815723,05_07_2019.jpg
56,1535,448,70,56,0.7963755,05_07_2019.jpg
10,1537,518,50,58,0.7017883,02_07_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
19,1583,531,43,51,0.7126355,01_02_2023 LG 282 copy 9.jpg
3,1612,446,41,85,0.7275741,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
5,1659,468,41,85,0.7210196,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
6,1713,514,41,85,0.7270059,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
14,1726,1762,41,45,0.7339723,01_02_2023 LG 282 copy 7.jpg
29,1780,615,48,42,0.7761211,12_13_2022 LG 282 copy.jpg
70,1801,1455,70,56,0.7019213,05_07_2019.jpg
69,1885,1443,70,56,0.77148205,05_07_2019.jpg
51,1885,728,49,46,0.73185223,01_10_2023 LG 282 copy 3.jpg
33,1890,876,48,42,0.7044417,12_13_2022 LG 282 copy.jpg
30,1894,768,48,42,0.7391887,12_13_2022 LG 282 copy.jpg
21,1896,1884,43,51,0.77281123,01_02_2023 LG 282 copy 9.jpg
35,1921,931,48,42,0.72017133,12_13_2022 LG 282 copy.jpg
31,1927,817,48,42,0.7216128,12_13_2022 LG 282 copy.jpg
37,1939,994,48,42,0.7370469,12_13_2022 LG 282 copy.jpg
32,1949,857,48,42,0.80810183,12_13_2022 LG 282 copy.jpg
40,1968,1061,48,42,0.7007836,12_13_2022 LG 282 copy.jpg
34,1968,901,48,42,0.7729076,12_13_2022 LG 282 copy.jpg
8,1991,1422,41,85,0.7184064,01_27_2023 LG 282.jpg01_10_2023 LG 282 copy 12_processed copy 2.jpg
36,1997,959,48,42,0.8119604,12_13_2022 LG 282 copy.jpg
38,2013,1001,48,42,0.80132556,12_13_2022 LG 282 copy.jpg
39,2030,1038,48,42,0.77975625,12_13_2022 LG 282 copy.jpg
41,2080,1170,48,42,0.71952206,12_13_2022 LG 282 copy.jpg
