,x,y,w,h,score,match
75,63,1766,70,56,0.7012159,05_07_2019.jpg
40,111,1882,53,39,0.88331807,01_10_2023 LG 282 copy 4.jpg
39,128,1835,53,39,0.88799447,01_10_2023 LG 282 copy 4.jpg
38,138,1798,53,39,0.75525004,01_10_2023 LG 282 copy 4.jpg
37,161,1742,53,39,0.9126453,01_10_2023 LG 282 copy 4.jpg
36,183,1697,53,39,0.9008859,01_10_2023 LG 282 copy 4.jpg
35,199,1650,53,39,0.843533,01_10_2023 LG 282 copy 4.jpg
3,216,1609,62,43,0.8229541,12_29_2022 LG 282 copy 2.jpg
34,229,1564,53,39,0.79213494,01_10_2023 LG 282 copy 4.jpg
72,241,1362,70,56,0.7243877,05_07_2019.jpg
33,255,1523,53,39,0.8597321,01_10_2023 LG 282 copy 4.jpg
32,272,1478,53,39,0.7641236,01_10_2023 LG 282 copy 4.jpg
31,291,1435,53,39,0.821234,01_10_2023 LG 282 copy 4.jpg
0,305,1346,84,47,0.75825864,06_04_2019_processed copy 2.jpg
30,311,1391,53,39,0.80867904,01_10_2023 LG 282 copy 4.jpg
68,345,1301,74,59,0.8144868,06_07_2019_processed copy.jpg
49,381,1223,43,51,0.8076461,01_02_2023 LG 282 copy 9.jpg
29,401,1186,53,39,0.80425745,01_10_2023 LG 282 copy 4.jpg
67,415,1139,74,59,0.75466305,06_07_2019_processed copy.jpg
66,435,1098,74,59,0.76575243,06_07_2019_processed copy.jpg
47,457,1056,43,51,0.8497457,01_02_2023 LG 282 copy 9.jpg
46,481,1015,43,51,0.876399,01_02_2023 LG 282 copy 9.jpg
28,497,979,53,39,0.8614596,01_10_2023 LG 282 copy 4.jpg
44,519,932,43,51,0.8409739,01_02_2023 LG 282 copy 9.jpg
27,533,896,53,39,0.8586495,01_10_2023 LG 282 copy 4.jpg
63,548,855,50,47,0.7600864,01_10_2023 LG 282 copy 10.jpg
70,569,599,70,56,0.7119172,05_07_2019.jpg
69,594,544,70,56,0.70407546,05_07_2019.jpg
26,598,771,53,39,0.7706416,01_10_2023 LG 282 copy 4.jpg
43,624,719,43,51,0.90428746,01_02_2023 LG 282 copy 9.jpg
18,818,419,41,45,0.79162437,01_02_2023 LG 282 copy 7.jpg
7,838,382,44,37,0.75449115,01_02_2023 LG 282 copy 2.jpg
6,877,346,44,37,0.79883534,01_02_2023 LG 282 copy 2.jpg
5,910,306,44,37,0.7025451,01_02_2023 LG 282 copy 2.jpg
12,955,277,49,47,0.7715449,01_02_2023 LG 282 copy 3.jpg
11,996,252,49,47,0.78053415,01_02_2023 LG 282 copy 3.jpg
9,1049,224,49,47,0.8609146,01_02_2023 LG 282 copy 3.jpg
22,1101,211,47,40,0.7800389,01_10_2023 LG 282 copy 8.jpg
41,1159,201,43,51,0.82537454,01_02_2023 LG 282 copy 9.jpg
14,1214,201,41,45,0.8109866,01_02_2023 LG 282 copy 7.jpg
42,1254,203,43,51,0.82436615,01_02_2023 LG 282 copy 9.jpg
8,1301,207,49,47,0.81938267,01_02_2023 LG 282 copy 3.jpg
10,1359,225,49,47,0.804385,01_02_2023 LG 282 copy 3.jpg
15,1505,310,41,45,0.7229944,01_02_2023 LG 282 copy 7.jpg
16,1543,354,41,45,0.7011021,01_02_2023 LG 282 copy 7.jpg
17,1580,388,41,45,0.8232803,01_02_2023 LG 282 copy 7.jpg
19,1616,431,41,45,0.7949166,01_02_2023 LG 282 copy 7.jpg
23,1638,471,47,40,0.82238877,01_10_2023 LG 282 copy 8.jpg
24,1665,509,47,40,0.8433165,01_10_2023 LG 282 copy 8.jpg
20,1705,548,41,45,0.8335295,01_02_2023 LG 282 copy 7.jpg
61,1713,594,50,47,0.8293681,01_10_2023 LG 282 copy 10.jpg
50,1740,640,48,42,0.8449021,12_13_2022 LG 282 copy.jpg
51,1764,689,48,42,0.85985965,12_13_2022 LG 282 copy.jpg
62,1783,738,50,47,0.83216983,01_10_2023 LG 282 copy 10.jpg
52,1807,778,48,42,0.85702944,12_13_2022 LG 282 copy.jpg
21,1833,818,45,42,0.7010538,01_02_2023 LG 282 copy 6.jpg
53,1840,859,48,42,0.8428927,12_13_2022 LG 282 copy.jpg
1,1856,896,62,43,0.8627051,12_29_2022 LG 282 copy 2.jpg
13,1860,198,41,45,0.7184558,01_02_2023 LG 282 copy 7.jpg
54,1867,940,48,42,0.83187443,12_13_2022 LG 282 copy.jpg
45,1899,975,43,51,0.8751049,01_02_2023 LG 282 copy 9.jpg
25,1931,1074,47,40,0.7646876,01_10_2023 LG 282 copy 8.jpg
48,1976,1178,43,51,0.90248555,01_02_2023 LG 282 copy 9.jpg
71,1980,1226,70,56,0.8324569,05_07_2019.jpg
2,2027,1319,62,43,0.8187662,12_29_2022 LG 282 copy 2.jpg
55,2070,1405,48,42,0.8171356,12_13_2022 LG 282 copy.jpg
64,2083,1440,54,44,0.81505597,01_10_2023 LG 282 copy 11.jpg
56,2098,1489,48,42,0.7646953,12_13_2022 LG 282 copy.jpg
57,2115,1531,48,42,0.8044703,12_13_2022 LG 282 copy.jpg
73,2128,1609,70,56,0.79126847,05_07_2019.jpg
58,2135,1570,48,42,0.76495856,12_13_2022 LG 282 copy.jpg
74,2144,1652,70,56,0.74796665,05_07_2019.jpg
59,2200,1742,48,42,0.8633773,12_13_2022 LG 282 copy.jpg
4,2217,1785,62,43,0.813366,12_29_2022 LG 282 copy 2.jpg
65,2224,1836,60,53,0.8063843,01_10_2023 LG 282 copy 12.jpg
60,2248,1884,48,42,0.82477653,12_13_2022 LG 282 copy.jpg
