,x,y,w,h,score,match
47,0,369,48,42,0.8121709,12_13_2022 LG 282 copy.jpg
76,14,1576,70,56,0.721905,05_07_2019.jpg
74,25,1480,70,56,0.7004553,05_07_2019.jpg
82,74,1744,70,56,0.746332,05_07_2019.jpg
78,105,1628,70,56,0.7073313,05_07_2019.jpg
77,109,1593,70,56,0.7038253,05_07_2019.jpg
79,141,1690,70,56,0.7070932,05_07_2019.jpg
75,207,1516,70,56,0.74514914,05_07_2019.jpg
71,262,1299,70,56,0.71981,05_07_2019.jpg
72,275,1330,70,56,0.7210669,05_07_2019.jpg
59,276,1859,49,46,0.8010047,01_10_2023 LG 282 copy 3.jpg
81,280,1723,70,56,0.8060105,05_07_2019.jpg
42,291,1781,43,51,0.7917649,01_02_2023 LG 282 copy 9.jpg
20,314,1691,53,39,0.7378854,01_10_2023 LG 282 copy 4.jpg
46,318,1639,77,51,0.8583085,05_28_2019_processed copy.jpg
40,339,1601,43,51,0.85305864,01_02_2023 LG 282 copy 9.jpg
45,344,1553,77,51,0.7724629,05_28_2019_processed copy.jpg
39,367,1512,43,51,0.8710337,01_02_2023 LG 282 copy 9.jpg
44,368,1466,77,51,0.8100208,05_28_2019_processed copy.jpg
68,388,1426,74,59,0.8802925,06_07_2019_processed copy.jpg
70,408,1247,70,56,0.72476304,05_07_2019.jpg
55,412,1344,48,42,0.81503147,12_13_2022 LG 282 copy.jpg
69,433,931,70,56,0.71739095,05_07_2019.jpg
54,463,1170,48,42,0.8461204,12_13_2022 LG 282 copy.jpg
36,495,1082,43,51,0.81403136,01_02_2023 LG 282 copy 9.jpg
66,506,1037,74,59,0.72821003,06_07_2019_processed copy.jpg
65,518,993,74,59,0.84394675,06_07_2019_processed copy.jpg
53,536,954,48,42,0.838632,12_13_2022 LG 282 copy.jpg
34,573,857,43,51,0.8358833,01_02_2023 LG 282 copy 9.jpg
33,588,809,43,51,0.8058994,01_02_2023 LG 282 copy 9.jpg
32,604,763,43,51,0.8816575,01_02_2023 LG 282 copy 9.jpg
30,625,714,43,51,0.89609164,01_02_2023 LG 282 copy 9.jpg
5,640,678,44,37,0.72311413,01_02_2023 LG 282 copy 2.jpg
29,660,629,43,51,0.85335267,01_02_2023 LG 282 copy 9.jpg
13,685,584,49,48,0.82314515,01_02_2023 LG 282 copy 4.jpg
26,716,530,43,51,0.77518624,01_02_2023 LG 282 copy 9.jpg
